bucket_start_bps,bucket_end_bps,count
-100,-90,1
-80,-70,4
-60,-50,1
-50,-40,3
-30,-20,2
-20,-10,1
-10,0,18
0,10,114
10,20,382
20,30,747
30,40,1160
40,50,370
50,60,150
60,70,434
70,80,852
80,90,693
90,100,340
100,110,109
110,120,63
120,130,56
130,140,91
140,150,92
150,160,42
160,170,23
170,180,9
180,190,15
190,200,38
200,210,42
210,220,13
220,230,9
230,240,10
240,250,6
250,260,3
260,270,5
270,280,3
280,290,5
290,300,2
300,310,3
320,330,3
330,340,1
340,350,5
360,370,2
380,390,1
420,430,1
430,440,1
470,480,1
800,810,1
1030,1040,1
