normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
swap:1609799,1609799,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDC,0.04999748,4392.45705,88491.72,1,4424.36300087,4392.45705,72.114225
swap_request:1231884,1231884,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDC,0.05,4392.421789,88491.72,1,4424.586,4392.421789,72.694284
swap:1609832,1609832,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDC,0.0587332,5152.138542,88491.72,1,5197.4018891,5152.138542,87.088411
swap_request:1231917,1231917,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDC,0.05873572,5152.103281,88491.72,1,5197.62488824,5152.103281,87.581555
swap:1609856,1609856,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDC,0.04693144,4145.067749,88491.72,1,4153.04384768,4145.067749,19.205429
swap_request:1231941,1231941,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDC,0.04695744,4145.032488,88491.72,1,4155.3446324,4145.032488,24.81658
swap:1610163,1610163,2026-01-21T01:31:36.000Z,1768959060,bitcoin:mainnet,eip155:1,BTC,USDC,0.00511858,454.660295,88996.36,1,455.53498837,454.660295,19.201453
swap_request:1232172,1232172,2026-01-21T01:31:36.000Z,1768959060,bitcoin:mainnet,eip155:1,BTC,USDC,0.00512555,454.644713,88996.36,1,456.155293,454.644713,33.115477
swap:1610184,1610184,2026-01-21T01:36:18.001Z,1768959360,bitcoin:mainnet,eip155:1,BTC,USDC,0.04999688,4418.395885,89003.62,1,4449.90330871,4418.395885,70.804738
swap_request:1232193,1232193,2026-01-21T01:36:18.001Z,1768959360,bitcoin:mainnet,eip155:1,BTC,USDC,0.05,4418.380965,89003.62,1,4450.181,4418.380965,71.457846
swap:1610314,1610314,2026-01-21T01:56:30.000Z,1768960560,bitcoin:mainnet,eip155:1,BTC,USDC,0.00080502,71.53499,88918.7,1,71.58133187,71.53499,6.474017
swap_request:1232309,1232309,2026-01-21T01:56:30.000Z,1768960560,bitcoin:mainnet,eip155:1,BTC,USDC,0.00080798,71.521496,88918.7,1,71.84453123,71.521496,44.963092
swap:1610513,1610513,2026-01-21T02:42:24.000Z,1768963320,bitcoin:mainnet,eip155:1,BTC,USDC,0.00139721,123.596274,88970.07,1,124.3098715,123.596274,57.404734
swap_request:1232507,1232507,2026-01-21T02:42:24.000Z,1768963320,bitcoin:mainnet,eip155:1,BTC,USDC,0.0014,123.579445,88970.07,1,124.558098,123.579445,78.570002
swap:1611493,1611493,2026-01-21T08:03:00.000Z,1768982580,bitcoin:mainnet,eip155:1,BTC,USDC,0.00988272,879.243349,89089.99,1,880.45142597,879.243349,13.721109
swap_request:1233471,1233471,2026-01-21T08:03:00.000Z,1768982580,bitcoin:mainnet,eip155:1,BTC,USDC,0.00989,879.21988,89089.99,1,881.1000011,879.21988,21.33834
swap:1611588,1611588,2026-01-21T08:46:36.000Z,1768985160,bitcoin:mainnet,eip155:1,BTC,USDC,0.00069701,61.883271,88970.16,1,62.01309122,61.883271,20.934325
swap_request:1233566,1233566,2026-01-21T08:46:36.000Z,1768985160,bitcoin:mainnet,eip155:1,BTC,USDC,0.0007,61.844939,88970.16,1,62.279112,61.844939,69.714064
swap:1612385,1612385,2026-01-21T12:59:54.000Z,1769000340,bitcoin:mainnet,eip155:1,BTC,USDC,0.02679549,2371.83687,88642.01,1,2375.20609253,2371.83687,14.184969
swap_request:1234264,1234264,2026-01-21T12:59:54.000Z,1769000340,bitcoin:mainnet,eip155:1,BTC,USDC,0.0268128,2371.789462,88642.01,1,2376.74048573,2371.789462,20.83115
swap_request:1234550,1234550,2026-01-21T14:53:12.000Z,1769007180,bitcoin:mainnet,eip155:1,BTC,USDC,0.01111662,985.13272,89499.99,1,994.93737883,985.13272,98.545487
swap:1612696,1612696,2026-01-21T14:53:12.000Z,1769007180,bitcoin:mainnet,eip155:1,BTC,USDC,0.01111505,985.303858,89499.99,1,994.79686385,985.303858,95.426576
swap:1612794,1612794,2026-01-21T15:18:36.000Z,1769008680,bitcoin:mainnet,eip155:1,BTC,USDC,0.04999829,4487.484273,90413.09,1,4520.49989362,4487.484273,73.035331
swap_request:1234623,1234623,2026-01-21T15:18:36.000Z,1769008680,bitcoin:mainnet,eip155:1,BTC,USDC,0.05,4487.289452,90413.09,1,4520.6545,4487.289452,73.805791
swap:1612964,1612964,2026-01-21T15:26:18.000Z,1769009160,bitcoin:mainnet,eip155:1,BTC,USDC,0.00505178,455.009429,90222.01,1,455.78174568,455.009429,16.94488
swap_request:1234716,1234716,2026-01-21T15:26:18.000Z,1769009160,bitcoin:mainnet,eip155:1,BTC,USDC,0.00505665,454.73875,90222.01,1,456.22112687,454.73875,32.492508
swap:1613101,1613101,2026-01-21T16:24:42.000Z,1769012640,bitcoin:mainnet,eip155:1,BTC,USDC,0.00082855,72.715586,89375.99,1,74.05247651,72.715586,180.532857
swap_request:1234844,1234844,2026-01-21T16:24:42.000Z,1769012640,bitcoin:mainnet,eip155:1,BTC,USDC,0.00083326,72.612969,89375.99,1,74.47343743,72.612969,249.816376
