normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
swap:1609640,1609640,2026-01-21T00:19:36.000Z,1768954740,bitcoin:mainnet,eip155:1,BTC,USDT,0.00661242,583.465747,88291.02,1,583.81730647,583.465747,6.021738
swap_request:1231774,1231774,2026-01-21T00:19:36.000Z,1768954740,bitcoin:mainnet,eip155:1,BTC,USDT,0.00661883,583.421724,88291.02,1,584.38325191,583.421724,16.453721
swap:1609641,1609641,2026-01-21T00:19:36.000Z,1768954740,bitcoin:mainnet,eip155:1,BTC,USDT,0.0066796,589.393567,88291.02,1,589.74869719,589.393567,6.021721
swap_request:1231775,1231775,2026-01-21T00:19:36.000Z,1768954740,bitcoin:mainnet,eip155:1,BTC,USDT,0.00668604,589.349544,88291.02,1,590.31729136,589.349544,16.393681
swap:1609831,1609831,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDT,0.0085517,750.464297,88491.72,1,756.75464192,750.464297,83.122647
swap_request:1231916,1231916,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDT,0.00855422,750.428993,88491.72,1,756.97764106,750.428993,86.510456
swap:1609833,1609833,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDT,0.08539313,7493.772612,88491.72,1,7556.58494988,7493.772612,83.122652
swap_request:1231918,1231918,2026-01-21T00:34:12.001Z,1768955640,bitcoin:mainnet,eip155:1,BTC,USDT,0.08539565,7493.737308,88491.72,1,7556.80794902,7493.737308,83.462014
swap:1610223,1610223,2026-01-21T01:36:18.001Z,1768959360,bitcoin:mainnet,eip155:1,BTC,USDT,0.01299688,1147.764294,89003.62,1,1156.76936871,1147.764294,77.84676
swap_request:1232232,1232232,2026-01-21T01:36:18.001Z,1768959360,bitcoin:mainnet,eip155:1,BTC,USDT,0.013,1147.74936,89003.62,1,1157.04706,1147.74936,80.357146
swap:1610249,1610249,2026-01-21T01:37:48.001Z,1768959420,bitcoin:mainnet,eip155:1,BTC,USDT,0.01478937,1305.782057,88984.01,1,1316.01744797,1305.782057,77.775496
swap_request:1232254,1232254,2026-01-21T01:37:48.001Z,1768959420,bitcoin:mainnet,eip155:1,BTC,USDT,0.01479249,1305.766788,88984.01,1,1316.29507808,1305.766788,79.98427
swap_request:1232305,1232305,2026-01-21T01:56:30.000Z,1768960560,bitcoin:mainnet,eip155:1,BTC,USDT,0.00541443,477.495955,88918.7,1,481.44407684,477.495955,82.005824
swap:1610310,1610310,2026-01-21T01:56:30.000Z,1768960560,bitcoin:mainnet,eip155:1,BTC,USDT,0.00541187,477.509456,88918.7,1,481.21644497,477.509456,77.033713
swap:1610365,1610365,2026-01-21T02:08:12.000Z,1768961280,bitcoin:mainnet,eip155:1,BTC,USDT,0.01185581,1048.669183,89169.68,1,1057.17878384,1048.669183,80.493489
swap_request:1232360,1232360,2026-01-21T02:08:12.000Z,1768961280,bitcoin:mainnet,eip155:1,BTC,USDT,0.01185823,1048.653355,89169.68,1,1057.39457447,1048.653355,82.667527
swap:1610400,1610400,2026-01-21T02:12:18.001Z,1768961520,bitcoin:mainnet,eip155:1,BTC,USDT,0.00669786,592.255557,89130.54,1,596.98387864,592.255557,79.203506
swap_request:1232395,1232395,2026-01-21T02:12:18.001Z,1768961520,bitcoin:mainnet,eip155:1,BTC,USDT,0.0067,592.24021,89130.54,1,597.174618,592.24021,82.629232
