bucket_start_bps,bucket_end_bps,count
-750,-740,1
-670,-660,1
-140,-130,1
-130,-120,1
-110,-100,1
-100,-90,2
-90,-80,6
-80,-70,1
-70,-60,9
-60,-50,6
-50,-40,7
-40,-30,5
-30,-20,11
-20,-10,21
-10,0,27
0,10,186
10,20,715
20,30,743
30,40,755
40,50,457
50,60,267
60,70,316
70,80,411
80,90,244
90,100,125
100,110,92
110,120,84
120,130,42
130,140,42
140,150,36
150,160,29
160,170,27
170,180,25
180,190,32
190,200,45
200,210,40
210,220,26
220,230,14
230,240,8
240,250,9
250,260,6
260,270,8
270,280,7
280,290,4
290,300,7
300,310,3
310,320,3
320,330,4
330,340,2
340,350,3
350,360,2
360,370,3
370,380,3
380,390,1
400,410,1
410,420,1
430,440,2
440,450,1
450,460,2
460,470,1
490,500,2
500,510,1
520,530,1
600,610,1
690,700,1
730,740,1
890,900,1
8000,8010,1
8750,8760,1
9000,9010,6
9090,9100,2
