normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
swap_request:1231678,1231678,2026-01-21T00:11:30.000Z,1768954260,eip155:1,bitcoin:mainnet,ETH,BTC,6.344,0.20902853,2933.79,88362,18611.96376,18470.17896786,76.179383
swap:1609504,1609504,2026-01-21T00:11:30.000Z,1768954260,eip155:1,bitcoin:mainnet,ETH,BTC,3.171996506392,0.10452864,2933.79,88362,9305.97163049,9236.35968768,74.803519
swap:1609503,1609503,2026-01-21T00:11:30.000Z,1768954260,eip155:1,bitcoin:mainnet,ETH,BTC,3.171996506392,0.10450869,2933.79,88362,9305.97163049,9234.59686578,76.69781
swap:1610031,1610031,2026-01-21T00:47:54.000Z,1768956420,eip155:1,bitcoin:mainnet,ETH,BTC,0.016805170066,0.00055885,2953.76,88763.27,49.63843913,49.60535344,6.665337
swap_request:1232048,1232048,2026-01-21T00:47:54.000Z,1768956420,eip155:1,bitcoin:mainnet,ETH,BTC,0.016805170066,0.00055357,2953.76,88763.27,49.63843913,49.13668337,101.082099
swap:1610075,1610075,2026-01-21T01:15:18.000Z,1768958100,eip155:1,bitcoin:mainnet,ETH,BTC,0.103996362156,0.00339783,2965.62,88944.69,308.41369154,302.21893602,200.858642
swap_request:1232092,1232092,2026-01-21T01:15:18.000Z,1768958100,eip155:1,bitcoin:mainnet,ETH,BTC,0.104,0.0033891,2965.62,88944.69,308.42448,301.44244888,226.377333
swap_request:1232285,1232285,2026-01-21T01:44:18.000Z,1768959840,eip155:1,bitcoin:mainnet,ETH,BTC,0.034093521684,0.00112509,2963.8,88925.98,101.04637957,100.04973084,98.632799
swap:1610290,1610290,2026-01-21T01:44:18.000Z,1768959840,eip155:1,bitcoin:mainnet,ETH,BTC,0.034093521684,0.00113037,2963.8,88925.98,101.04637957,100.51926001,52.1661
swap:1610346,1610346,2026-01-21T02:07:30.000Z,1768961220,eip155:1,bitcoin:mainnet,ETH,BTC,0.154161843746,0.00512268,2966.6,89110.62,457.33652566,456.48519086,18.615062
swap_request:1232341,1232341,2026-01-21T02:07:30.000Z,1768961220,eip155:1,bitcoin:mainnet,ETH,BTC,0.154161843746,0.0051174,2966.6,89110.62,457.33652566,456.01468679,28.902981
swap:1610631,1610631,2026-01-21T03:11:30.000Z,1768965060,eip155:1,bitcoin:mainnet,ETH,BTC,0.087339725011,0.00289921,2962.18,89004.02,258.71598663,258.04134482,26.076541
swap_request:1232624,1232624,2026-01-21T03:11:30.000Z,1768965060,eip155:1,bitcoin:mainnet,ETH,BTC,0.087339725011,0.00289393,2962.18,89004.02,258.71598663,257.5714036,44.240909
swap:1610899,1610899,2026-01-21T04:30:18.000Z,1768969800,eip155:1,bitcoin:mainnet,ETH,BTC,0.083386360408,0.00275556,2976.52,89375.78,248.20116948,246.28032434,77.390656
swap_request:1232890,1232890,2026-01-21T04:30:18.000Z,1768969800,eip155:1,bitcoin:mainnet,ETH,BTC,0.08339,0.00275028,2976.52,89375.78,248.2120028,245.80842022,96.835872
swap:1611093,1611093,2026-01-21T05:25:54.000Z,1768973100,eip155:1,bitcoin:mainnet,ETH,BTC,0.062594301097,0.00207768,2979.26,89469.99,186.48469749,185.89000882,31.889408
swap_request:1233075,1233075,2026-01-21T05:25:54.000Z,1768973100,eip155:1,bitcoin:mainnet,ETH,BTC,0.062594301097,0.00207244,2979.26,89469.99,186.48469749,185.42118608,57.02942
swap:1611587,1611587,2026-01-21T08:46:30.000Z,1768985160,eip155:1,bitcoin:mainnet,ETH,BTC,0.099993471177,0.00330048,2958.07,88970.16,295.78768728,293.64423368,72.465951
swap_request:1233565,1233565,2026-01-21T08:46:30.000Z,1768985160,eip155:1,bitcoin:mainnet,ETH,BTC,0.1,0.00329454,2958.07,88970.16,295.807,293.11575093,90.979898
swap:1611600,1611600,2026-01-21T08:48:06.000Z,1768985280,eip155:1,bitcoin:mainnet,ETH,BTC,1.572210833029,0.05211791,2957.9,88965.95,4650.44242302,4636.71937516,29.509123
swap_request:1233578,1233578,2026-01-21T08:48:06.000Z,1768985280,eip155:1,bitcoin:mainnet,ETH,BTC,1.572217993204,0.05211439,2957.9,88965.95,4650.4636021,4636.40621502,30.227926
swap:1611784,1611784,2026-01-21T09:21:06.000Z,1768987260,eip155:1,bitcoin:mainnet,ETH,BTC,0.01419925466,0.00047191,2967,89234.2,42.12918858,42.11051132,4.433328
swap_request:1233709,1233709,2026-01-21T09:21:06.000Z,1768987260,eip155:1,bitcoin:mainnet,ETH,BTC,0.0142057,0.00046625,2967,89234.2,42.1483119,41.60544575,128.799026
swap:1611859,1611859,2026-01-21T09:57:30.000Z,1768989420,eip155:1,bitcoin:mainnet,ETH,BTC,0.101479830015,0.00331873,2955.66,89069.15,299.93987438,295.59646018,144.809496
swap_request:1233777,1233777,2026-01-21T09:57:30.000Z,1768989420,eip155:1,bitcoin:mainnet,ETH,BTC,0.10148772572,0.00331169,2955.66,89069.15,299.9632114,294.96941336,166.48035
swap:1611913,1611913,2026-01-21T10:15:18.000Z,1768990500,eip155:1,bitcoin:mainnet,ETH,BTC,21.298380432761,0.70572066,2960.24,89208.87,63048.31769228,62956.54261425,14.556309
