bucket_start_bps,bucket_end_bps,count
-130,-120,1
-110,-100,1
-90,-80,8
-80,-70,10
-70,-60,11
-60,-50,6
-50,-40,7
-40,-30,17
-30,-20,33
-20,-10,96
-10,0,435
0,10,2547
10,20,1360
20,30,740
30,40,577
40,50,264
50,60,187
60,70,113
70,80,104
80,90,86
90,100,89
100,110,64
110,120,51
120,130,31
130,140,51
140,150,47
150,160,48
160,170,36
170,180,24
180,190,24
190,200,27
200,210,32
210,220,15
220,230,20
230,240,17
240,250,14
250,260,10
260,270,11
270,280,8
280,290,9
290,300,7
300,310,8
310,320,3
320,330,1
330,340,4
350,360,3
360,370,2
370,380,4
380,390,2
390,400,2
400,410,1
430,440,2
440,450,3
460,470,1
510,520,1
530,540,1
580,590,2
5000,5010,1
