normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
swap:1609478,1609478,2026-01-21T00:01:06.000Z,1768953660,eip155:1,bitcoin:mainnet,USDC,BTC,493.00116,0.00557802,1,88399.98,493.00116,493.09685644,-1.9411
swap_request:1231653,1231653,2026-01-21T00:01:06.000Z,1768953660,eip155:1,bitcoin:mainnet,USDC,BTC,493.50116,0.00557088,1,88399.98,493.50116,492.46568058,20.98231
swap:1609479,1609479,2026-01-21T00:01:18.001Z,1768953660,eip155:1,bitcoin:mainnet,USDC,BTC,1344.863875,0.01521484,1,88399.98,1344.863875,1344.9915517,-0.949365
swap_request:1231654,1231654,2026-01-21T00:01:18.001Z,1768953660,eip155:1,bitcoin:mainnet,USDC,BTC,1346.479381,0.0152077,1,88399.98,1346.479381,1344.36037585,15.737375
swap:1610050,1610050,2026-01-21T00:53:54.000Z,1768956780,eip155:1,bitcoin:mainnet,USDC,BTC,595.163826,0.00669834,1,88836.02,595.163826,595.05386621,1.847555
swap_request:1232067,1232067,2026-01-21T00:53:54.000Z,1768956780,eip155:1,bitcoin:mainnet,USDC,BTC,595.759586,0.00669192,1,88836.02,595.759586,594.48353896,21.418825
swap:1610426,1610426,2026-01-21T02:16:42.000Z,1768961760,eip155:1,bitcoin:mainnet,USDC,BTC,1196.763347,0.01342072,1,89146.03,1196.763347,1196.40390774,3.003428
swap_request:1232421,1232421,2026-01-21T02:16:42.000Z,1768961760,eip155:1,bitcoin:mainnet,USDC,BTC,1197.961309,0.01341549,1,89146.03,1197.961309,1195.937674,16.892323
swap:1610553,1610553,2026-01-21T02:51:54.000Z,1768963860,eip155:1,bitcoin:mainnet,USDC,BTC,942.316647,0.01058952,1,88963.97,942.316647,942.08573959,2.450423
swap_request:1232546,1232546,2026-01-21T02:51:54.000Z,1768963860,eip155:1,bitcoin:mainnet,USDC,BTC,943.259907,0.01058445,1,88963.97,943.259907,941.63469227,17.229766
swap:1610687,1610687,2026-01-21T03:31:42.000Z,1768966260,eip155:1,bitcoin:mainnet,USDC,BTC,40.000569,0.00044847,1,89158.16,40.000569,39.98476002,3.95219
swap_request:1232678,1232678,2026-01-21T03:31:42.000Z,1768966260,eip155:1,bitcoin:mainnet,USDC,BTC,40.000569,0.00044367,1,89158.16,40.000569,39.55680085,110.94046
swap:1610690,1610690,2026-01-21T03:32:54.000Z,1768966320,eip155:1,bitcoin:mainnet,USDC,BTC,80.582411,0.00090347,1,89164.99,80.582411,80.55789352,3.042536
swap_request:1232681,1232681,2026-01-21T03:32:54.000Z,1768966320,eip155:1,bitcoin:mainnet,USDC,BTC,81.082411,0.00089847,1,89164.99,81.082411,80.11206857,119.673604
swap:1610696,1610696,2026-01-21T03:34:54.000Z,1768966440,eip155:1,bitcoin:mainnet,USDC,BTC,56.93761,0.00063837,1,89163.81,56.93761,56.91950139,3.18043
swap_request:1232687,1232687,2026-01-21T03:34:54.000Z,1768966440,eip155:1,bitcoin:mainnet,USDC,BTC,57.449,0.00063427,1,89163.81,57.449,56.55392977,155.802578
swap:1610903,1610903,2026-01-21T04:33:54.000Z,1768969980,eip155:1,bitcoin:mainnet,USDC,BTC,29790.163619,0.3334886,1,89296,29790.163619,29779.1980256,3.680944
swap_request:1232894,1232894,2026-01-21T04:33:54.000Z,1768969980,eip155:1,bitcoin:mainnet,USDC,BTC,30000,0.33348326,1,89296,30000,29778.72118496,73.759605
swap:1610907,1610907,2026-01-21T04:34:30.000Z,1768970040,eip155:1,bitcoin:mainnet,USDC,BTC,199.245783,0.00223035,1,89312.07,199.245783,199.19717532,2.439584
swap_request:1232898,1232898,2026-01-21T04:34:30.000Z,1768970040,eip155:1,bitcoin:mainnet,USDC,BTC,199.745783,0.00222501,1,89312.07,199.745783,198.72024887,51.341966
swap:1610997,1610997,2026-01-21T04:59:06.001Z,1768971540,eip155:1,bitcoin:mainnet,USDC,BTC,272.975078,0.00305415,1,89327.27,272.975078,272.81888167,5.722
swap_request:1232985,1232985,2026-01-21T04:59:06.001Z,1768971540,eip155:1,bitcoin:mainnet,USDC,BTC,275,0.00305029,1,89327.27,275,272.47407841,91.851694
swap:1611032,1611032,2026-01-21T05:12:30.000Z,1768972320,eip155:1,bitcoin:mainnet,USDC,BTC,272.09375,0.00304124,1,89409.98,272.09375,271.91720758,6.488294
swap_request:1233020,1233020,2026-01-21T05:12:30.000Z,1768972320,eip155:1,bitcoin:mainnet,USDC,BTC,272.59375,0.00303596,1,89409.98,272.59375,271.44512288,42.136957
swap:1611080,1611080,2026-01-21T05:22:06.000Z,1768972920,eip155:1,bitcoin:mainnet,USDC,BTC,149.076758,0.00166592,1,89475.99,149.076758,149.05984126,1.134767
swap_request:1233062,1233062,2026-01-21T05:22:06.000Z,1768972920,eip155:1,bitcoin:mainnet,USDC,BTC,149.815971,0.00166064,1,89475.99,149.815971,148.58740803,82.004806
swap:1611307,1611307,2026-01-21T06:47:42.000Z,1768978020,eip155:1,bitcoin:mainnet,USDC,BTC,56.553516,0.00063203,1,89462.4,56.553516,56.54292067,1.873505
swap_request:1233286,1233286,2026-01-21T06:47:42.000Z,1768978020,eip155:1,bitcoin:mainnet,USDC,BTC,57.064829,0.00062821,1,89462.4,57.064829,56.2011743,151.346234
