bucket_start_bps,bucket_end_bps,count
-210,-200,1
-190,-180,1
-110,-100,1
-100,-90,1
-80,-70,2
-70,-60,6
-60,-50,9
-50,-40,9
-40,-30,7
-30,-20,3
-20,-10,24
-10,0,76
0,10,178
10,20,1044
20,30,2400
30,40,1883
40,50,1285
50,60,646
60,70,440
70,80,415
80,90,350
90,100,232
100,110,150
110,120,119
120,130,86
130,140,53
140,150,35
150,160,51
160,170,59
170,180,45
180,190,48
190,200,47
200,210,59
210,220,37
220,230,30
230,240,22
240,250,22
250,260,12
260,270,15
270,280,13
280,290,8
290,300,20
300,310,13
310,320,11
320,330,8
330,340,6
340,350,6
350,360,5
360,370,6
370,380,1
380,390,2
390,400,3
400,410,2
410,420,2
420,430,1
430,440,1
440,450,4
450,460,2
470,480,2
480,490,3
490,500,4
500,510,3
510,520,3
530,540,2
550,560,2
570,580,1
620,630,1
680,690,1
720,730,1
730,740,1
880,890,1
