normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
swap:1609481,1609481,2026-01-21T00:01:30.001Z,1768953660,eip155:1,bitcoin:mainnet,USDT,BTC,1226.081481,0.01383638,1,88399.98,1226.081481,1223.13571527,24.025856
swap_request:1231656,1231656,2026-01-21T00:01:30.001Z,1768953660,eip155:1,bitcoin:mainnet,USDT,BTC,1226.081481,0.01382924,1,88399.98,1226.081481,1222.50453942,29.173767
swap:1609509,1609509,2026-01-21T00:12:30.000Z,1768954320,eip155:1,bitcoin:mainnet,USDT,BTC,500.472,0.00564953,1,88374,500.472,499.27156422,23.986073
swap_request:1231683,1231683,2026-01-21T00:12:30.000Z,1768954320,eip155:1,bitcoin:mainnet,USDT,BTC,500.472,0.00564073,1,88374,500.472,498.49387302,39.525228
swap:1609513,1609513,2026-01-21T00:13:06.000Z,1768954380,eip155:1,bitcoin:mainnet,USDT,BTC,993,0.01120941,1,88360,993,990.4634676,25.544133
swap_request:1231687,1231687,2026-01-21T00:13:06.000Z,1768954380,eip155:1,bitcoin:mainnet,USDT,BTC,993,0.01120061,1,88360,993,989.6858996,33.374626
swap:1609602,1609602,2026-01-21T00:18:54.000Z,1768954680,eip155:1,bitcoin:mainnet,USDT,BTC,346.022921,0.00390625,1,88324.02,346.022921,345.01570313,29.108415
swap_request:1231737,1231737,2026-01-21T00:18:54.000Z,1768954680,eip155:1,bitcoin:mainnet,USDT,BTC,346.022921,0.00389928,1,88324.02,346.022921,344.40008471,46.899676
swap:1609607,1609607,2026-01-21T00:19:18.000Z,1768954740,eip155:1,bitcoin:mainnet,USDT,BTC,8945.13468,0.10102709,1,88291.02,8945.13468,8919.78482373,28.339267
swap_request:1231741,1231741,2026-01-21T00:19:18.000Z,1768954740,eip155:1,bitcoin:mainnet,USDT,BTC,8945.13468,0.10102012,1,88291.02,8945.13468,8919.16943532,29.027226
swap:1609774,1609774,2026-01-21T00:32:30.000Z,1768955520,eip155:1,bitcoin:mainnet,USDT,BTC,29.79,0.00033054,1,88488.77,29.79,29.24907804,181.57837
swap_request:1231866,1231866,2026-01-21T00:32:30.000Z,1768955520,eip155:1,bitcoin:mainnet,USDT,BTC,29.79,0.00032488,1,88488.77,29.79,28.7482316,349.704063
swap:1610025,1610025,2026-01-21T00:46:06.001Z,1768956360,eip155:1,bitcoin:mainnet,USDT,BTC,46.43268,0.00051714,1,88727.11,46.43268,45.88433767,118.094052
swap_request:1232042,1232042,2026-01-21T00:46:06.001Z,1768956360,eip155:1,bitcoin:mainnet,USDT,BTC,46.43268,0.00051311,1,88727.11,46.43268,45.52676741,195.102369
