normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
eip155:1:0xed6e93ba2f68734c888fd4ae9986b74f06edf9171a9608b14100d3103c55c5db:39,eip155:1:0xed6e93ba2f68734c888fd4ae9986b74f06edf9171a9608b14100d3103c55c5db:39,2026-03-15T22:50:11.000Z,1773615000,eip155:1,eip155:1,WETH,CBBTC,50,1.50066035,2183.9,72669.52,109195,109052.26731753,13.071357
eip155:1:0x3d404031060cacb80550ef4decdc8d5bcf3272062d2f36dbbd657e1c32f7c4d3:212,eip155:1:0x3d404031060cacb80550ef4decdc8d5bcf3272062d2f36dbbd657e1c32f7c4d3:212,2026-03-15T22:51:23.000Z,1773615060,eip155:1,eip155:1,WETH,CBBTC,30,0.90094496,2183.4,72673.99,65502,65475.26501359,4.081553
eip155:1:0x1746edf477008ae0f53d9c8c45abf6bd872ce28e1d512471067c5f2b275b87dc:294,eip155:1:0x1746edf477008ae0f53d9c8c45abf6bd872ce28e1d512471067c5f2b275b87dc:294,2026-03-15T22:54:47.000Z,1773615240,eip155:1,eip155:1,WETH,CBBTC,20,0.6001709,2180.56,72702.58,43611.2,43633.97287092,-5.221794
eip155:1:0x5242e29560e6aba5b888148e75ac75dbed10721f9a3a2f3ce611b54d258cc259:242,eip155:1:0x5242e29560e6aba5b888148e75ac75dbed10721f9a3a2f3ce611b54d258cc259:242,2026-03-16T06:24:47.000Z,1773642240,eip155:1,eip155:1,WETH,CBBTC,0.01,0.00030454,2268.36,73777.45,22.6836,22.46818462,94.965251
eip155:1:0xb44e2d8b9bc8111b64bc184379e8b43cb76361c813dd92f8e0376d4825c6c71d:41,eip155:1:0xb44e2d8b9bc8111b64bc184379e8b43cb76361c813dd92f8e0376d4825c6c71d:41,2026-03-16T20:14:35.000Z,1773692040,eip155:1,eip155:1,WETH,CBBTC,42.5,1.3371056,2326.98,73912.17,98896.65,98828.37641515,6.903529
eip155:1:0xafa310f9b89b8bfa73ae768b0f654fba10c3c3944352ba499b59ddc4f62308ad:83,eip155:1:0xafa310f9b89b8bfa73ae768b0f654fba10c3c3944352ba499b59ddc4f62308ad:83,2026-03-17T13:58:47.000Z,1773755880,eip155:1,eip155:1,WETH,CBBTC,1.978146380373,0.0625352,2330.62,73679.61,4610.30751702,4607.56914727,5.939668
eip155:1:0xee619d2233779ad1bdf45d16e48610cefa129533c3fdf3ccb9b7918fe691a1be:16,eip155:1:0xee619d2233779ad1bdf45d16e48610cefa129533c3fdf3ccb9b7918fe691a1be:16,2026-03-17T14:09:11.000Z,1773756540,eip155:1,eip155:1,WETH,CBBTC,0.256334572736,0.00809276,2333.95,73736.01,598.27207604,596.72783229,25.81173
eip155:1:0x9b51e475eb88da8c6cc202fb8dd8276c1bdbcc422b87b5340fef4db521a22e00:155,eip155:1:0x9b51e475eb88da8c6cc202fb8dd8276c1bdbcc422b87b5340fef4db521a22e00:155,2026-03-17T20:27:11.000Z,1773779220,eip155:1,eip155:1,WETH,CBBTC,0.01,0.00030896,2329.24,74679.55,23.2924,23.07299377,94.19649
eip155:1:0x883d4de4c2446f48b4e34a9b7cbea0da3cae48daa6367c4d5412d6cfca15a907:408,eip155:1:0x883d4de4c2446f48b4e34a9b7cbea0da3cae48daa6367c4d5412d6cfca15a907:408,2026-03-18T07:41:59.000Z,1773819660,eip155:1,eip155:1,WETH,CBBTC,0.002,0.00006165,2314.28,73757.26,4.62856,4.54713508,175.918474
eip155:1:0xd8f6656c1575b8b77eca58016d677e211d4f846a109f12bc5e0eca40f614047f:256,eip155:1:0xd8f6656c1575b8b77eca58016d677e211d4f846a109f12bc5e0eca40f614047f:256,2026-03-18T17:12:47.000Z,1773853920,eip155:1,eip155:1,WETH,CBBTC,0.004,0.00011941,2183.52,71311,8.73408,8.51524651,250.551277
eip155:1:0x30642b7bdaeda5a1205134c73f7cc0d11f2395e80a73ca1c4c752e3c6b7bdf31:91,eip155:1:0x30642b7bdaeda5a1205134c73f7cc0d11f2395e80a73ca1c4c752e3c6b7bdf31:91,2026-03-19T23:14:59.000Z,1773962040,eip155:1,eip155:1,WETH,CBBTC,0.006,0.00018153,2146.42,70202.3,12.87852,12.74382352,104.590031
eip155:1:0x00fce65d0d031b048dffe7ead477a1a17cb7884b20e95c8c5b8b8ee64b9ac33e:104,eip155:1:0x00fce65d0d031b048dffe7ead477a1a17cb7884b20e95c8c5b8b8ee64b9ac33e:104,2026-03-22T08:08:11.000Z,1774166880,eip155:1,eip155:1,WETH,CBBTC,216.053923612398,6.53059775,2088.03,68879.99,451127.0741204,449827.50771402,28.807103
eip155:1:0xcb889cf4f30f55b93640715baae99cfd14eb5babe22d0cc08f4dd26b505e8db5:110,eip155:1:0xcb889cf4f30f55b93640715baae99cfd14eb5babe22d0cc08f4dd26b505e8db5:110,2026-03-23T17:29:47.000Z,1774286940,eip155:1,eip155:1,WETH,CBBTC,50,1.5105612,2130.78,70509.98,106539,106509.64000078,2.755798
eip155:1:0x0d57fc1b6735612a8bf12ee92464b6797bb00c29bcf6e2d1abb8de8a5d5b5f1f:82,eip155:1:0x0d57fc1b6735612a8bf12ee92464b6797bb00c29bcf6e2d1abb8de8a5d5b5f1f:82,2026-03-23T17:49:11.000Z,1774288140,eip155:1,eip155:1,WETH,CBBTC,0.001,0.00002701,2149.47,70990.71,2.14947,1.91745908,1079.386653
eip155:1:0xea08a47f0368209a88afc7f12aca33a90847078b68290240bf1929383777946a:280,eip155:1:0xea08a47f0368209a88afc7f12aca33a90847078b68290240bf1929383777946a:280,2026-03-23T20:16:47.000Z,1774296960,eip155:1,eip155:1,WETH,CBBTC,0.005,0.00015071,2160.7,70760.5,10.8035,10.66431496,128.83329
eip155:1:0xea04ec70ad17a508b0fdcb5357cc8c838b57468cab7402809251d39c22d578bf:58,eip155:1:0xea04ec70ad17a508b0fdcb5357cc8c838b57468cab7402809251d39c22d578bf:58,2026-03-23T21:00:59.000Z,1774299600,eip155:1,eip155:1,WETH,CBBTC,0.051923424982,0.00156614,2162.61,70944.08,112.2901181,111.10836145,105.241375
eip155:1:0x4ab74ae308549142961efc537b05f0d2d16b3c6bafa2e72420e9109d4a7586fb:258,eip155:1:0x4ab74ae308549142961efc537b05f0d2d16b3c6bafa2e72420e9109d4a7586fb:258,2026-03-24T12:21:47.000Z,1774354860,eip155:1,eip155:1,WETH,CBBTC,0.001,0.0000292,2164.88,71021.98,2.16488,2.07384182,420.523004
