normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
eip155:1:0xe43bbe1d5d65e54afc20f03f098dcbae5312173a4932b7772b3bc9a615d38753:180,eip155:1:0xe43bbe1d5d65e54afc20f03f098dcbae5312173a4932b7772b3bc9a615d38753:180,2026-02-03T09:24:59.000Z,1770110640,eip155:1,eip155:1,USDC,CBBTC,10000,0.12797178,1,77983.56,10000,9979.69498394,20.305016
0xe43bbe1d5d65e54afc20f03f098dcbae5312173a4932b7772b3bc9a615d38753:180,0xe43bbe1d5d65e54afc20f03f098dcbae5312173a4932b7772b3bc9a615d38753:180,2026-02-03T09:24:59.000Z,1770110640,eip155:1,eip155:1,USDC,CBBTC,10000,0.12797178,1,77983.56,10000,9979.69498394,20.305016
0x0dd5bf1c5ed07b53d789f7613de3221f5b347a7d6e5537012ccdb7613af1e98c:782,0x0dd5bf1c5ed07b53d789f7613de3221f5b347a7d6e5537012ccdb7613af1e98c:782,2026-02-03T09:25:35.000Z,1770110700,eip155:1,eip155:1,USDC,CBBTC,1999.999999,0.02563147,1,77937.44,1999.999999,1997.65115524,11.744219
eip155:1:0x0dd5bf1c5ed07b53d789f7613de3221f5b347a7d6e5537012ccdb7613af1e98c:782,eip155:1:0x0dd5bf1c5ed07b53d789f7613de3221f5b347a7d6e5537012ccdb7613af1e98c:782,2026-02-03T09:25:35.000Z,1770110700,eip155:1,eip155:1,USDC,CBBTC,1999.999999,0.02563147,1,77937.44,1999.999999,1997.65115524,11.744219
0xa55adf4e5a0648e9aa094db139e36cc6bf14039c5ee9f47b4da47cf4f31d248a:18,0xa55adf4e5a0648e9aa094db139e36cc6bf14039c5ee9f47b4da47cf4f31d248a:18,2026-02-03T11:14:11.000Z,1770117240,eip155:1,eip155:1,USDC,CBBTC,4200,0.05370285,1,78147.56,4200,4196.74669255,7.74597
eip155:1:0xa55adf4e5a0648e9aa094db139e36cc6bf14039c5ee9f47b4da47cf4f31d248a:18,eip155:1:0xa55adf4e5a0648e9aa094db139e36cc6bf14039c5ee9f47b4da47cf4f31d248a:18,2026-02-03T11:14:11.000Z,1770117240,eip155:1,eip155:1,USDC,CBBTC,4200,0.05370285,1,78147.56,4200,4196.74669255,7.74597
0xa319d6c3d67a4a293e16af5a81319e6db68262bf6c8071d08116370c14f9708b:23,0xa319d6c3d67a4a293e16af5a81319e6db68262bf6c8071d08116370c14f9708b:23,2026-02-03T12:56:35.000Z,1770123360,eip155:1,eip155:1,USDC,CBBTC,19593.761849,0.25,1,78326.96,19593.761849,19581.74,6.135549
eip155:1:0xa319d6c3d67a4a293e16af5a81319e6db68262bf6c8071d08116370c14f9708b:23,eip155:1:0xa319d6c3d67a4a293e16af5a81319e6db68262bf6c8071d08116370c14f9708b:23,2026-02-03T12:56:35.000Z,1770123360,eip155:1,eip155:1,USDC,CBBTC,19593.761849,0.25,1,78326.96,19593.761849,19581.74,6.135549
eip155:1:0x5839240e49d0d3a3cee9993d9a93ad977b6caadd6f0aebab5f10bc6fdfc3d84e:152,eip155:1:0x5839240e49d0d3a3cee9993d9a93ad977b6caadd6f0aebab5f10bc6fdfc3d84e:152,2026-02-03T14:48:11.000Z,1770130080,eip155:1,eip155:1,USDC,CBBTC,19525.039613,0.25,1,77856,19525.039613,19464,31.262222
0x5839240e49d0d3a3cee9993d9a93ad977b6caadd6f0aebab5f10bc6fdfc3d84e:152,0x5839240e49d0d3a3cee9993d9a93ad977b6caadd6f0aebab5f10bc6fdfc3d84e:152,2026-02-03T14:48:11.000Z,1770130080,eip155:1,eip155:1,USDC,CBBTC,19525.039613,0.25,1,77856,19525.039613,19464,31.262222
eip155:1:0x2977b524655f61a99ed3d25a929242e20fe3854052b3a75645b21c3614cec65e:142,eip155:1:0x2977b524655f61a99ed3d25a929242e20fe3854052b3a75645b21c3614cec65e:142,2026-02-03T15:28:35.000Z,1770132480,eip155:1,eip155:1,USDC,CBBTC,19469.01489,0.25,1,77838.25,19469.01489,19459.5625,4.855094
0x2977b524655f61a99ed3d25a929242e20fe3854052b3a75645b21c3614cec65e:142,0x2977b524655f61a99ed3d25a929242e20fe3854052b3a75645b21c3614cec65e:142,2026-02-03T15:28:35.000Z,1770132480,eip155:1,eip155:1,USDC,CBBTC,19469.01489,0.25,1,77838.25,19469.01489,19459.5625,4.855094
0x3c644b27b7e72a5a8118833c9782cdec81968da4a358fe95bc47413a49bec2cc:622,0x3c644b27b7e72a5a8118833c9782cdec81968da4a358fe95bc47413a49bec2cc:622,2026-02-03T17:12:59.000Z,1770138720,eip155:1,eip155:1,USDC,CBBTC,3883.690694,0.05117089,1,75835.99,3883.690694,3880.59510233,7.970747
eip155:1:0x3c644b27b7e72a5a8118833c9782cdec81968da4a358fe95bc47413a49bec2cc:622,eip155:1:0x3c644b27b7e72a5a8118833c9782cdec81968da4a358fe95bc47413a49bec2cc:622,2026-02-03T17:12:59.000Z,1770138720,eip155:1,eip155:1,USDC,CBBTC,3883.690694,0.05117089,1,75835.99,3883.690694,3880.59510233,7.970747
eip155:1:0x956144853641882e1edf9e530f7b105bbefa1d744afe84fa7aeeb8a1e38e31f1:180,eip155:1:0x956144853641882e1edf9e530f7b105bbefa1d744afe84fa7aeeb8a1e38e31f1:180,2026-02-03T17:13:47.000Z,1770138780,eip155:1,eip155:1,USDC,CBBTC,1999.999999,0.02635264,1,75830.85,1999.999999,1998.34309094,8.28454
0x956144853641882e1edf9e530f7b105bbefa1d744afe84fa7aeeb8a1e38e31f1:180,0x956144853641882e1edf9e530f7b105bbefa1d744afe84fa7aeeb8a1e38e31f1:180,2026-02-03T17:13:47.000Z,1770138780,eip155:1,eip155:1,USDC,CBBTC,1999.999999,0.02635264,1,75830.85,1999.999999,1998.34309094,8.28454
0x58bc060783b0e20f077553cd945266a2aea7da9a214e094c92d120488cc5654d:160,0x58bc060783b0e20f077553cd945266a2aea7da9a214e094c92d120488cc5654d:160,2026-02-03T17:13:59.000Z,1770138780,eip155:1,eip155:1,USDC,CBBTC,10.1286,0.0001261,1,75830.85,10.1286,9.56227019,559.139284
