bucket_start_bps,bucket_end_bps,count
-350,-340,1
-230,-220,1
-120,-110,1
-110,-100,1
-80,-70,3
-70,-60,3
-60,-50,3
-50,-40,10
-40,-30,21
-30,-20,48
-20,-10,119
-10,0,454
0,10,1305
10,20,668
20,30,286
30,40,156
40,50,98
50,60,67
60,70,85
70,80,50
80,90,61
90,100,46
100,110,25
110,120,31
120,130,15
130,140,15
140,150,22
150,160,12
160,170,11
170,180,8
180,190,5
190,200,13
200,210,4
210,220,5
220,230,7
230,240,5
240,250,7
250,260,9
260,270,10
270,280,7
280,290,7
290,300,3
300,310,2
310,320,5
320,330,6
330,340,4
340,350,9
350,360,4
360,370,3
370,380,4
380,390,3
390,400,3
410,420,3
420,430,4
430,440,3
440,450,3
450,460,3
460,470,2
470,480,3
480,490,3
490,500,1
500,510,3
520,530,1
530,540,1
540,550,4
550,560,2
560,570,1
570,580,1
580,590,3
590,600,8
610,620,5
620,630,3
630,640,4
640,650,5
660,670,3
670,680,1
680,690,3
700,710,2
720,730,1
730,740,2
740,750,2
750,760,1
760,770,4
770,780,1
780,790,1
790,800,2
800,810,2
810,820,1
840,850,1
860,870,2
870,880,1
880,890,1
890,900,1
900,910,3
910,920,1
920,930,3
930,940,1
940,950,1
950,960,3
960,970,1
980,990,1
1010,1020,1
1020,1030,1
1040,1050,2
1060,1070,1
1080,1090,1
1090,1100,1
1110,1120,2
1130,1140,1
1160,1170,1
1200,1210,1
1210,1220,3
1230,1240,1
1250,1260,2
1270,1280,1
1320,1330,1
1330,1340,1
1350,1360,1
1370,1380,1
1390,1400,1
1400,1410,1
1460,1470,1
1470,1480,1
1510,1520,1
1590,1600,2
1630,1640,2
1640,1650,2
1690,1700,1
1700,1710,1
1770,1780,1
1850,1860,1
1900,1910,1
1910,1920,1
2020,2030,1
2160,2170,1
2170,2180,1
2210,2220,1
2240,2250,1
2260,2270,1
2270,2280,1
2330,2340,1
2350,2360,1
2420,2430,1
2480,2490,1
2520,2530,1
2560,2570,1
2640,2650,1
2750,2760,2
2820,2830,1
2990,3000,1
3280,3290,1
3600,3610,1
3850,3860,1
3860,3870,1
3920,3930,1
5820,5830,1
6050,6060,1
6750,6760,1
7110,7120,1
8980,8990,1
