bucket_start_bps,bucket_end_bps,count
-800,-790,1
-370,-360,1
-330,-320,4
-310,-300,2
-300,-290,2
-290,-280,2
-280,-270,2
-270,-260,1
-260,-250,2
-250,-240,1
-240,-230,1
-230,-220,4
-220,-210,3
-200,-190,1
-180,-170,2
-170,-160,1
-160,-150,1
-150,-140,3
-140,-130,2
-120,-110,1
-110,-100,2
-90,-80,6
-80,-70,2
-70,-60,6
-60,-50,5
-50,-40,12
-40,-30,13
-30,-20,21
-20,-10,89
-10,0,347
0,10,1312
10,20,735
20,30,343
30,40,236
40,50,118
50,60,72
60,70,48
70,80,46
80,90,35
90,100,17
100,110,21
110,120,7
120,130,7
130,140,4
140,150,5
150,160,6
160,170,1
170,180,3
180,190,2
190,200,2
200,210,1
210,220,1
220,230,1
230,240,3
240,250,2
250,260,2
260,270,2
320,330,1
370,380,1
410,420,1
420,430,1
450,460,1
460,470,3
470,480,3
480,490,1
550,560,2
610,620,2
780,790,1
1860,1870,1
1870,1880,1
2150,2160,1
3360,3370,1
3790,3800,1
4050,4060,1
4230,4240,1
5740,5750,1
5810,5820,1
6370,6380,1
9000,9010,1
