normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
eip155:8453:0x588f8ac1a6e2f82bc029e3a0f9a02163dba25ff21c1048a72617d5269993d4ed:193,eip155:8453:0x588f8ac1a6e2f82bc029e3a0f9a02163dba25ff21c1048a72617d5269993d4ed:193,2026-02-05T11:45:27.000Z,1770291900,eip155:8453,eip155:8453,USDC,ETH,10,0.00478971161,1,2088.97,10,10.00556386,-5.563861
eip155:8453:0xf9991386a1713b2a0d19e67a3a743df8942d9451906e0fa4db606e45381ed1e3:227,eip155:8453:0xf9991386a1713b2a0d19e67a3a743df8942d9451906e0fa4db606e45381ed1e3:227,2026-02-05T11:47:57.000Z,1770292020,eip155:8453,eip155:8453,USDC,ETH,2.914975,0.001394340941,1,2079.97,2.914975,2.90018733,50.730016
eip155:8453:0xa2298ece1f7751e445fcd26718831273bb9630d83a155773ead63400168ba050:129,eip155:8453:0xa2298ece1f7751e445fcd26718831273bb9630d83a155773ead63400168ba050:129,2026-02-05T11:53:29.000Z,1770292380,eip155:8453,eip155:8453,USDC,ETH,50,0.024097973209,1,2075.48,50,50.01486144,-2.972287
eip155:8453:0xcd608d3985575fddac388c22d311e22604a30c89a449014f7fdccdb2426b3087:92,eip155:8453:0xcd608d3985575fddac388c22d311e22604a30c89a449014f7fdccdb2426b3087:92,2026-02-05T11:53:39.000Z,1770292380,eip155:8453,eip155:8453,USDC,ETH,5,0.002397902407,1,2075.48,5,4.97679849,46.403023
eip155:8453:0xf089c294ff578421fa9da2440cbc501e96d0b236f069f0a2a0d8a03960a557ef:555,eip155:8453:0xf089c294ff578421fa9da2440cbc501e96d0b236f069f0a2a0d8a03960a557ef:555,2026-02-05T11:55:37.000Z,1770292500,eip155:8453,eip155:8453,USDC,ETH,1,0.00047633803,1,2078.45,1,0.99004478,99.55221
eip155:8453:0x91414c0f57806589fc7beb916c7ac22fb8c2d6423f449e87656a25d69941705f:461,eip155:8453:0x91414c0f57806589fc7beb916c7ac22fb8c2d6423f449e87656a25d69941705f:461,2026-02-05T12:01:03.000Z,1770292860,eip155:8453,eip155:8453,USDC,ETH,2000,0.962278313084,1,2084.9,2000,2006.25405495,-31.270275
eip155:8453:0x4815d955219b1c228194d4081c8761196e6f0ec77039608a4136bbfdbeb69252:876,eip155:8453:0x4815d955219b1c228194d4081c8761196e6f0ec77039608a4136bbfdbeb69252:876,2026-02-05T12:20:41.000Z,1770294000,eip155:8453,eip155:8453,USDC,ETH,30,0.014542175233,1,2049.92,30,29.81029585,63.234715
eip155:8453:0x077ea4c51754b292a3f5699c8ff9096c0c7a25d9f7ffdd0905a23ccbc111ad8a:117,eip155:8453:0x077ea4c51754b292a3f5699c8ff9096c0c7a25d9f7ffdd0905a23ccbc111ad8a:117,2026-02-05T12:25:13.000Z,1770294300,eip155:8453,eip155:8453,USDC,ETH,25,0.011913940911,1,2055.9,25,24.49387112,202.451552
eip155:8453:0x3be1af523aaefc66d96e93c71dbcf513a1939c157369b64037d7058c4fe127ef:77,eip155:8453:0x3be1af523aaefc66d96e93c71dbcf513a1939c157369b64037d7058c4fe127ef:77,2026-02-05T12:30:01.000Z,1770294600,eip155:8453,eip155:8453,USDC,ETH,500,0.241236530676,1,2067.79,500,498.82648577,23.470285
eip155:8453:0x0f8d5d55ace3c4dc4960b3c2197c53eb6b63ca0d37f94acc56fcff924f532725:169,eip155:8453:0x0f8d5d55ace3c4dc4960b3c2197c53eb6b63ca0d37f94acc56fcff924f532725:169,2026-02-05T12:35:45.000Z,1770294900,eip155:8453,eip155:8453,USDC,ETH,25.954379,0.012504639297,1,2058.7,25.954379,25.74330092,81.326576
eip155:8453:0x821a34a1d78740a967844219db258869c38813f66f4eee25ffb3caff1152b646:298,eip155:8453:0x821a34a1d78740a967844219db258869c38813f66f4eee25ffb3caff1152b646:298,2026-02-05T12:37:25.000Z,1770295020,eip155:8453,eip155:8453,USDC,ETH,7613.640923,3.688672017096,1,2061.55,7613.640923,7604.38179684,12.161233
eip155:8453:0xd066b96e79b77f34272c1c598c09cea9fb2ce3fe98cd62146090eacb81a8edc6:483,eip155:8453:0xd066b96e79b77f34272c1c598c09cea9fb2ce3fe98cd62146090eacb81a8edc6:483,2026-02-05T12:37:57.000Z,1770295020,eip155:8453,eip155:8453,USDC,ETH,3,0.001392258473,1,2061.55,3,2.87021045,432.631818
eip155:8453:0xb79faea687f80123f9145dc671586facad564b2a1b3e231acaa7b75971b2acb3:36,eip155:8453:0xb79faea687f80123f9145dc671586facad564b2a1b3e231acaa7b75971b2acb3:36,2026-02-05T12:46:43.000Z,1770295560,eip155:8453,eip155:8453,USDC,ETH,6.267477,0.003,1,2052.72,6.267477,6.15816,174.419467
eip155:8453:0x1df6fb8883bad7126005e4ed0a3e167a6ad5bab14f13107286c46e01599b33e8:197,eip155:8453:0x1df6fb8883bad7126005e4ed0a3e167a6ad5bab14f13107286c46e01599b33e8:197,2026-02-05T12:49:49.000Z,1770295740,eip155:8453,eip155:8453,USDC,ETH,5,0.002379010412,1,2059.35,5,4.89921509,201.569818
eip155:8453:0xeb924c972bec76885febb35af777bd9d873bf1dc8cbd18c636cc7893179ea2a1:101,eip155:8453:0xeb924c972bec76885febb35af777bd9d873bf1dc8cbd18c636cc7893179ea2a1:101,2026-02-05T13:43:01.000Z,1770298980,eip155:8453,eip155:8453,USDC,ETH,119.431712,0.058177047262,1,2053.22,119.431712,119.45027698,-1.554443
