normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
eip155:8453:0xbf3c9ed4789603018d1b7e995185cde0a298481e813f66e929972a55b502bceb:331,eip155:8453:0xbf3c9ed4789603018d1b7e995185cde0a298481e813f66e929972a55b502bceb:331,2026-02-05T12:45:01.000Z,1770295500,eip155:8453,eip155:8453,USDT,CBBTC,2.650579,0.000036,1,69124.82,2.650579,2.48849352,611.509712
eip155:8453:0x153c306f8c47d73a8bf046591ee147902cdd6a57e729201e9808303851e198b5:135,eip155:8453:0x153c306f8c47d73a8bf046591ee147902cdd6a57e729201e9808303851e198b5:135,2026-02-05T12:45:47.000Z,1770295500,eip155:8453,eip155:8453,USDT,CBBTC,27.995822,0.0004,1,69124.82,27.995822,27.649928,123.552007
eip155:8453:0xf92538a57406361963c06c2ee6b9691560451835f3115a9a1954f58fd1863c61:402,eip155:8453:0xf92538a57406361963c06c2ee6b9691560451835f3115a9a1954f58fd1863c61:402,2026-02-05T12:46:31.000Z,1770295560,eip155:8453,eip155:8453,USDT,CBBTC,300,0.00431661,1,69121.99,300,298.37267325,54.244225
eip155:8453:0xdf43799223552291d47c4ebf4e0b55428fbe77f030befc5d8cf1b714e07c5c18:273,eip155:8453:0xdf43799223552291d47c4ebf4e0b55428fbe77f030befc5d8cf1b714e07c5c18:273,2026-02-05T15:27:41.000Z,1770305220,eip155:8453,eip155:8453,USDT,CBBTC,658.1312,0.01,1,67243.87,658.1312,672.4387,-217.395863
eip155:8453:0xb376a2165aceb718a69382f2e34c122c3f56dc7491e3a092e95b9b08dea37497:532,eip155:8453:0xb376a2165aceb718a69382f2e34c122c3f56dc7491e3a092e95b9b08dea37497:532,2026-02-05T15:31:53.000Z,1770305460,eip155:8453,eip155:8453,USDT,CBBTC,200,0.00305698,1,66996.01,200,204.80546265,-240.273132
eip155:8453:0xd2f84747c85d62d1f7e20bbd6152c1ab0932d598de480ce1d1a13620f9c553cd:271,eip155:8453:0xd2f84747c85d62d1f7e20bbd6152c1ab0932d598de480ce1d1a13620f9c553cd:271,2026-02-05T15:32:29.000Z,1770305520,eip155:8453,eip155:8453,USDT,CBBTC,20,0.00029079,1,66676.54,20,19.38887107,305.564467
eip155:8453:0xefe034ff157d9261b9919a951cb060320e66f34c666277cb941bf257ea97fa9c:459,eip155:8453:0xefe034ff157d9261b9919a951cb060320e66f34c666277cb941bf257ea97fa9c:459,2026-02-05T15:39:17.000Z,1770305940,eip155:8453,eip155:8453,USDT,CBBTC,73,0.00110293,1,67401.33,73,74.3389489,-183.417657
eip155:8453:0x690cb36d9938f1a089bcacba77ef0533e17c9f401665d4c6b3be5bae87db7170:457,eip155:8453:0x690cb36d9938f1a089bcacba77ef0533e17c9f401665d4c6b3be5bae87db7170:457,2026-02-05T15:45:25.000Z,1770306300,eip155:8453,eip155:8453,USDT,CBBTC,583.013956,0.00862553,1,67048,583.013956,578.32453544,80.434105
eip155:8453:0x7684d2ef81f9dd182b1729f8e3b044b06e08fdc6473a48a08680ecd8191536e8:549,eip155:8453:0x7684d2ef81f9dd182b1729f8e3b044b06e08fdc6473a48a08680ecd8191536e8:549,2026-02-05T16:11:39.000Z,1770307860,eip155:8453,eip155:8453,USDT,CBBTC,1000,0.01484663,1,67045,1000,995.39230835,46.076916
eip155:8453:0xfb495befcc764d848ce53e7cad02d4f9dc7c6cd6ff0f5b5b099b017d464b8164:609,eip155:8453:0xfb495befcc764d848ce53e7cad02d4f9dc7c6cd6ff0f5b5b099b017d464b8164:609,2026-02-05T16:16:31.000Z,1770308160,eip155:8453,eip155:8453,USDT,CBBTC,750,0.01113211,1,67451.01,750,750.87206293,-11.627506
