normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
0x21e561f207c1b1c5dd37a0e73b934d54ab806a2c14afde4757be0bbfc687f3d2:338,0x21e561f207c1b1c5dd37a0e73b934d54ab806a2c14afde4757be0bbfc687f3d2:338,2026-01-03T19:03:59.000Z,1767466980,eip155:1,eip155:1,ETH,CBBTC,0.113,0.00390411,3114.21,90079.08,351.90573,351.67863702,6.453233
0x947c21cf3008a67c0e5f0480b93c9c43ee02bb75b0966f30b87c37b154d8c4a0:230,0x947c21cf3008a67c0e5f0480b93c9c43ee02bb75b0966f30b87c37b154d8c4a0:230,2026-01-04T11:04:59.000Z,1767524640,eip155:1,eip155:1,ETH,CBBTC,1.1399375,0.03912399,3140.19,91472.01,3579.62033813,3578.75000452,2.431357
0x551dca8365e3e72797c7c5ce9dd1b1286e5763ef8229868ac712e5361c082c34:240,0x551dca8365e3e72797c7c5ce9dd1b1286e5763ef8229868ac712e5361c082c34:240,2026-01-06T14:35:59.000Z,1767710100,eip155:1,eip155:1,ETH,CBBTC,28.6229,1.00130661,3301.21,94143.82,94490.203709,94266.82925665,23.639959
0xa935a09f5f6a489fae1ef5bdc693f49ec8f72a91b1c6e98073105d3451cafc68:212,0xa935a09f5f6a489fae1ef5bdc693f49ec8f72a91b1c6e98073105d3451cafc68:212,2026-01-06T18:32:23.000Z,1767724320,eip155:1,eip155:1,ETH,CBBTC,0.2,0.00699536,3221.87,91936,644.374,643.12541696,19.376682
0xa49dda5627a270f0a6857a09a2ba40c8c4d9e35cf2285e61ad2b91b1b5e45ea4:1162,0xa49dda5627a270f0a6857a09a2ba40c8c4d9e35cf2285e61ad2b91b1b5e45ea4:1162,2026-01-06T20:36:23.000Z,1767731760,eip155:1,eip155:1,ETH,CBBTC,0.01582175523,0.0005549,3244.53,92553.13,51.3341595,51.35773184,-4.591941
0xd49c63f29f0f85f8f476eb17e808d0d8fed4ce5ee829fd86de4dc16bf861b26d:1870,0xd49c63f29f0f85f8f476eb17e808d0d8fed4ce5ee829fd86de4dc16bf861b26d:1870,2026-01-07T16:29:35.000Z,1767803340,eip155:1,eip155:1,ETH,CBBTC,0.014733717072,0.00050983,3165.84,91512,46.64459086,46.65556296,-2.352278
0xd395c707e7ac4a69aa13a22ddcd69619d71657624364e901095bdfda72780b97:423,0xd395c707e7ac4a69aa13a22ddcd69619d71657624364e901095bdfda72780b97:423,2026-01-08T15:16:47.000Z,1767885360,eip155:1,eip155:1,ETH,CBBTC,0.0015,0.00005129,3088.66,90394,4.63299,4.63630826,-7.162243
0xbd3689ab6e8ea017b9d6da8a5a1f87c7b0a2b20749d109aa82745ac548a6e8ab:114,0xbd3689ab6e8ea017b9d6da8a5a1f87c7b0a2b20749d109aa82745ac548a6e8ab:114,2026-01-08T15:18:11.000Z,1767885480,eip155:1,eip155:1,ETH,CBBTC,0.0015,0.00005124,3089.38,90350.41,4.63407,4.62955501,9.743037
0xb5943196159d87865690cd673c93f4fe230c82faae2f865b9198a440ed316dbf:647,0xb5943196159d87865690cd673c93f4fe230c82faae2f865b9198a440ed316dbf:647,2026-01-08T19:11:59.000Z,1767899460,eip155:1,eip155:1,ETH,CBBTC,0.0015,0.00005137,3122.55,91165.61,4.683825,4.68317739,1.382661
0x2687c043ea6073a2c3bdd86f161c4c9952051cac77a92904ae9b0cae0e5617c9:766,0x2687c043ea6073a2c3bdd86f161c4c9952051cac77a92904ae9b0cae0e5617c9:766,2026-01-08T19:50:59.000Z,1767901800,eip155:1,eip155:1,ETH,CBBTC,0.0015,0.00005127,3116.68,91084.25,4.67502,4.6698895,10.97429
