bucket_start_bps,bucket_end_bps,count
-8550,-8540,1
-8350,-8340,1
-5470,-5460,1
-3890,-3880,1
-3760,-3750,1
-1490,-1480,1
-1400,-1390,1
-1270,-1260,1
-1230,-1220,1
-1220,-1210,1
-1190,-1180,1
-1080,-1070,1
-1070,-1060,1
-1060,-1050,1
-1050,-1040,1
-1040,-1030,1
-1000,-990,1
-980,-970,1
-950,-940,1
-830,-820,2
-810,-800,2
-740,-730,1
-710,-700,1
-690,-680,1
-680,-670,2
-670,-660,2
-660,-650,1
-650,-640,1
-640,-630,1
-630,-620,1
-610,-600,1
-600,-590,1
-590,-580,2
-570,-560,2
-550,-540,1
-540,-530,2
-510,-500,1
-500,-490,1
-460,-450,2
-440,-430,3
-430,-420,1
-420,-410,1
-410,-400,3
-400,-390,1
-390,-380,5
-380,-370,2
-370,-360,2
-360,-350,1
-350,-340,2
-330,-320,3
-320,-310,4
-310,-300,2
-300,-290,3
-290,-280,3
-280,-270,3
-270,-260,3
-260,-250,4
-250,-240,4
-240,-230,5
-230,-220,5
-220,-210,5
-210,-200,3
-200,-190,7
-190,-180,9
-180,-170,8
-170,-160,11
-160,-150,13
-150,-140,16
-140,-130,16
-130,-120,21
-120,-110,18
-110,-100,21
-100,-90,31
-90,-80,27
-80,-70,48
-70,-60,52
-60,-50,76
-50,-40,105
-40,-30,174
-30,-20,333
-20,-10,872
-10,0,2957
0,10,3791
10,20,1130
20,30,405
30,40,201
40,50,125
50,60,68
60,70,41
70,80,31
80,90,16
90,100,26
100,110,12
110,120,6
120,130,2
130,140,2
140,150,10
150,160,5
160,170,6
170,180,5
180,190,14
190,200,12
200,210,18
220,230,2
230,240,2
250,260,2
270,280,2
280,290,1
290,300,1
300,310,1
310,320,1
320,330,1
330,340,2
410,420,1
450,460,2
470,480,5
480,490,6
490,500,12
500,510,11
640,650,1
1570,1580,1
3900,3910,1
