bucket_start_bps,bucket_end_bps,count
-10180,-10170,1
-1430,-1420,1
-1090,-1080,1
-1030,-1020,1
-990,-980,1
-940,-930,1
-930,-920,2
-920,-910,1
-860,-850,1
-840,-830,1
-780,-770,1
-670,-660,2
-650,-640,1
-620,-610,1
-560,-550,1
-540,-530,1
-530,-520,1
-510,-500,1
-500,-490,2
-460,-450,1
-450,-440,1
-420,-410,2
-410,-400,2
-400,-390,1
-390,-380,2
-380,-370,1
-370,-360,4
-360,-350,4
-350,-340,2
-340,-330,2
-330,-320,5
-320,-310,1
-310,-300,4
-300,-290,3
-290,-280,2
-280,-270,2
-270,-260,4
-260,-250,1
-250,-240,7
-240,-230,4
-230,-220,3
-220,-210,5
-210,-200,4
-200,-190,3
-190,-180,4
-180,-170,5
-170,-160,7
-160,-150,5
-150,-140,12
-140,-130,19
-130,-120,16
-120,-110,12
-110,-100,12
-100,-90,19
-90,-80,28
-80,-70,25
-70,-60,45
-60,-50,58
-50,-40,85
-40,-30,120
-30,-20,286
-20,-10,850
-10,0,2759
0,10,3901
10,20,1151
20,30,439
30,40,214
40,50,124
50,60,97
60,70,45
70,80,23
80,90,16
90,100,14
100,110,9
110,120,3
120,130,2
130,140,1
140,150,3
150,160,3
170,180,1
200,210,1
220,230,1
240,250,1
250,260,1
260,270,1
290,300,2
310,320,1
450,460,1
460,470,1
470,480,2
480,490,2
490,500,3
500,510,1
530,540,1
