normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
eip155:1:0xe879a0824258c98c36423b344427883d8618170aa7ef4653e3ef74948d3af9ca:174,eip155:1:0xe879a0824258c98c36423b344427883d8618170aa7ef4653e3ef74948d3af9ca:174,2026-02-03T06:58:47.000Z,1770101880,eip155:1,eip155:1,USDC,ETH,0.206457,0.000088912958,1,2320.4,0.206457,0.20631363,6.944361
eip155:1:0x7156207c60ccf30c0ce874e7974a3b482f34e976e616a1c6937ff981f827da92:1426,eip155:1:0x7156207c60ccf30c0ce874e7974a3b482f34e976e616a1c6937ff981f827da92:1426,2026-02-03T07:07:47.000Z,1770102420,eip155:1,eip155:1,USDC,ETH,100.179317,0.043173861381,1,2318.16,100.179317,100.0839185,9.522774
eip155:1:0x0816f5a99260f6e6e5637539000c13dbd3816c416791c38bb5c2f91cd62b7028:663,eip155:1:0x0816f5a99260f6e6e5637539000c13dbd3816c416791c38bb5c2f91cd62b7028:663,2026-02-03T07:10:11.000Z,1770102600,eip155:1,eip155:1,USDC,ETH,730,0.313988542336,1,2323,730,729.39538385,8.282413
eip155:1:0xee019687ea10193a113aaa7af43f2e0f16b9515b59f78ec6fa349033026b25c4:600,eip155:1:0xee019687ea10193a113aaa7af43f2e0f16b9515b59f78ec6fa349033026b25c4:600,2026-02-03T07:10:11.000Z,1770102600,eip155:1,eip155:1,USDC,ETH,116.959755,0.050336196439,1,2323,116.959755,116.93098433,2.459878
eip155:1:0x3c2be80dd22bae06cb6891a7d35ef9bb95f71d599e45525830201b2d1e6277ca:130,eip155:1:0x3c2be80dd22bae06cb6891a7d35ef9bb95f71d599e45525830201b2d1e6277ca:130,2026-02-03T07:13:23.000Z,1770102780,eip155:1,eip155:1,USDC,ETH,73.865852,0.031706046424,1,2323.66,73.865852,73.67407183,25.963305
eip155:1:0x27df82681b2e9b1f0f0076d2041f9f80f9a1bf6ac74e74c36862568c766793dd:53,eip155:1:0x27df82681b2e9b1f0f0076d2041f9f80f9a1bf6ac74e74c36862568c766793dd:53,2026-02-03T07:16:59.000Z,1770102960,eip155:1,eip155:1,USDC,ETH,18.351712,0.007902982072,1,2322.47,18.351712,18.35443877,-1.485841
eip155:1:0xe1f82fef9c1fc1d8c35932f36cb1398252a2ae8a5de62cfba7ad03d0232ceff3:333,eip155:1:0xe1f82fef9c1fc1d8c35932f36cb1398252a2ae8a5de62cfba7ad03d0232ceff3:333,2026-02-03T07:22:23.000Z,1770103320,eip155:1,eip155:1,USDC,ETH,58.508979,0.025223971091,1,2320.22,58.508979,58.52516221,-2.765935
eip155:1:0x85082bc8ecdbfe00499a37138ef5e04c17870fa99dac65c9b5bd0665f0e595f6:353,eip155:1:0x85082bc8ecdbfe00499a37138ef5e04c17870fa99dac65c9b5bd0665f0e595f6:353,2026-02-03T07:35:59.000Z,1770104100,eip155:1,eip155:1,USDC,ETH,26.840104,0.011538640739,1,2329.4,26.840104,26.87810974,-14.160056
eip155:1:0x8ad0bd3ce9eb422dbd66486037ac56e43eb08b25db5b5768b444796db7cde84e:72,eip155:1:0x8ad0bd3ce9eb422dbd66486037ac56e43eb08b25db5b5768b444796db7cde84e:72,2026-02-03T07:43:35.000Z,1770104580,eip155:1,eip155:1,USDC,ETH,0.266562,0.000115309124,1,2326.05,0.266562,0.26821479,-62.003862
eip155:1:0x4a6eeb22b4b3ebc75d41209b6959d6590cef5a921aa78a736f945a5297e6fe8c:73,eip155:1:0x4a6eeb22b4b3ebc75d41209b6959d6590cef5a921aa78a736f945a5297e6fe8c:73,2026-02-03T07:44:59.000Z,1770104640,eip155:1,eip155:1,USDC,ETH,28.80978,0.012377561764,1,2326.32,28.80978,28.79416948,5.418478
