normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
0x3106af14dce9f3845c4d926cb514d7897db57a529f54072e711beb46aba51c5f:164,0x3106af14dce9f3845c4d926cb514d7897db57a529f54072e711beb46aba51c5f:164,2026-01-01T01:41:35.000Z,1767231660,eip155:1,eip155:1,WETH,CBBTC,0.103710603297,0.00352096,2981.14,87725,309.17582791,308.876216,9.690664
0xec46e5cc2f20cdcc3049947e5af2e8ba8c969cb8ee2d7858441188edc9b35d70:163,0xec46e5cc2f20cdcc3049947e5af2e8ba8c969cb8ee2d7858441188edc9b35d70:163,2026-01-02T00:21:59.000Z,1767313260,eip155:1,eip155:1,WETH,CBBTC,0.180087931662,0.00609265,2998.6,88559.6,540.01167188,539.56264694,8.315097
0x0504d693f1e0b6dc5a35756a9a9369e5f936fb8e62da5eb28d9b457101070187:1491,0x0504d693f1e0b6dc5a35756a9a9369e5f936fb8e62da5eb28d9b457101070187:1491,2026-01-02T02:23:59.000Z,1767320580,eip155:1,eip155:1,WETH,CBBTC,0.00299925,0.00010159,2991.18,88351.76,8.97129661,8.9756553,-4.858477
0xb440de9891f9fb4cfb6a50914f24ce22408ff8940bd9c292332a5f15cc8abd3c:374,0xb440de9891f9fb4cfb6a50914f24ce22408ff8940bd9c292332a5f15cc8abd3c:374,2026-01-04T06:41:23.000Z,1767508860,eip155:1,eip155:1,WETH,CBBTC,0.00257236368,0.00008852,3144.32,91372,8.08833457,8.08824944,0.105246
0xfc990dd14ac32f8de77ec4163940cc92fba82cb6a7e1bb4be37c0b6185907e4e:246,0xfc990dd14ac32f8de77ec4163940cc92fba82cb6a7e1bb4be37c0b6185907e4e:246,2026-01-04T21:53:35.000Z,1767563580,eip155:1,eip155:1,WETH,CBBTC,0.8,0.02756023,3142.3,91220,2513.84,2514.0441806,-0.812226
0xfa9695ffcb4e997dd57b5a942419ab84804647f5dc788ef6b26e334c171edac2:263,0xfa9695ffcb4e997dd57b5a942419ab84804647f5dc788ef6b26e334c171edac2:263,2026-01-05T10:00:47.000Z,1767607200,eip155:1,eip155:1,WETH,CBBTC,0.000499875,0.00001707,3169.1,92703.78,1.58415386,1.58245352,10.733414
0x48662d439d1aa067fa0eb1cd7608f536aad03f61a936225f25b2bfbf25370c16:328,0x48662d439d1aa067fa0eb1cd7608f536aad03f61a936225f25b2bfbf25370c16:328,2026-01-05T10:02:59.000Z,1767607320,eip155:1,eip155:1,WETH,CBBTC,0.000499875,0.00001707,3165.8,92643.35,1.58250428,1.58142198,6.8391
0x18806e7d2c3b89b8ed40441eff42ecc25efcbae45ebb4a3523a39a22e23a31ff:360,0x18806e7d2c3b89b8ed40441eff42ecc25efcbae45ebb4a3523a39a22e23a31ff:360,2026-01-05T18:16:47.000Z,1767636960,eip155:1,eip155:1,WETH,CBBTC,0.053961863205,0.00183851,3206.77,94114.05,173.04328407,173.02962207,0.789514
0x418eabe85d912cce348257c00c054c20a4b06af24a05e502d045550eb65fe1ce:313,0x418eabe85d912cce348257c00c054c20a4b06af24a05e502d045550eb65fe1ce:313,2026-01-06T14:19:59.000Z,1767709140,eip155:1,eip155:1,WETH,CBBTC,0.29925,0.01045269,3287.41,94135.47,983.7574425,983.96888591,-2.149345
0x87a997c0ce6a9ab07303d1c6e09cc5c18aedba469b46a30503ad28be216989d7:107,0x87a997c0ce6a9ab07303d1c6e09cc5c18aedba469b46a30503ad28be216989d7:107,2026-01-08T13:28:35.000Z,1767878880,eip155:1,eip155:1,WETH,CBBTC,0.006413713495,0.00022073,3094.14,89925.97,19.84492747,19.84935936,-2.233259
