normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
eip155:8453:0x8d8b6ca3a96968b50e43f8c5d09b61c087300da28756fea18a476748ae6d99b7:348,eip155:8453:0x8d8b6ca3a96968b50e43f8c5d09b61c087300da28756fea18a476748ae6d99b7:348,2026-03-03T08:11:09.000Z,1772525460,eip155:8453,eip155:8453,ETH,USDC,0.00406515,8.102067,1998.77,1,8.12529987,8.102067,28.593241
eip155:8453:0x67b392da312730249ce6582dc3cd67d4e5cb3d04ba032447d684dc512c7a4cd8:289,eip155:8453:0x67b392da312730249ce6582dc3cd67d4e5cb3d04ba032447d684dc512c7a4cd8:289,2026-03-03T08:12:29.000Z,1772525520,eip155:8453,eip155:8453,ETH,USDC,0.049458227567,98.780064,1996.54,1,98.74532967,98.780064,-3.517567
eip155:8453:0xd866401342b22e40032a55aad423976db1f86f609cc130b295877e91c602b1aa:163,eip155:8453:0xd866401342b22e40032a55aad423976db1f86f609cc130b295877e91c602b1aa:163,2026-03-03T08:12:47.000Z,1772525520,eip155:8453,eip155:8453,ETH,USDC,0.00406515,8.115734,1996.54,1,8.11623458,8.115734,0.616765
eip155:8453:0x6458422ed1369e7a6403bbaf8c85a7ac84d14b73a267e0d9a8d845ee49431f4d:408,eip155:8453:0x6458422ed1369e7a6403bbaf8c85a7ac84d14b73a267e0d9a8d845ee49431f4d:408,2026-03-03T08:12:47.000Z,1772525520,eip155:8453,eip155:8453,ETH,USDC,0.00406515,8.109761,1996.54,1,8.11623458,8.109761,7.976089
eip155:8453:0x061b0ea8ceb8ec6fad0cdbb8fb4b1e7680c349c4edc30bcbca2dce78d4f30b0d:504,eip155:8453:0x061b0ea8ceb8ec6fad0cdbb8fb4b1e7680c349c4edc30bcbca2dce78d4f30b0d:504,2026-03-03T08:12:47.000Z,1772525520,eip155:8453,eip155:8453,ETH,USDC,0.00406515,8.103796,1996.54,1,8.11623458,8.103796,15.325556
eip155:8453:0x00e85aad1b47d49b97223035b0d9bc0c2e9840dc300bf85026bf8029f2d61fef:839,eip155:8453:0x00e85aad1b47d49b97223035b0d9bc0c2e9840dc300bf85026bf8029f2d61fef:839,2026-03-03T08:14:41.000Z,1772525640,eip155:8453,eip155:8453,ETH,USDC,0.004168337699,8.284883,1985.26,1,8.2752341,8.284883,-11.659972
eip155:8453:0xba54eae54e426b5860a21deab70aae774906ffedcb839b1070b4c2653e49ebd2:468,eip155:8453:0xba54eae54e426b5860a21deab70aae774906ffedcb839b1070b4c2653e49ebd2:468,2026-03-03T08:18:03.000Z,1772525880,eip155:8453,eip155:8453,ETH,USDC,0.01,19.869583,1989.82,1,19.8982,19.869583,14.381703
eip155:8453:0xbc16a865c71a149641828efa87f6defabb4ef5a7624319f8ba30e1f64ef637f6:485,eip155:8453:0xbc16a865c71a149641828efa87f6defabb4ef5a7624319f8ba30e1f64ef637f6:485,2026-03-03T08:22:11.000Z,1772526120,eip155:8453,eip155:8453,ETH,USDC,1.125989221457,2235.111376,1986.19,1,2236.42853177,2235.111376,5.88955
eip155:8453:0xc2dcea9e3f87b5a3b3c9ac404cc8184b280c0293589e1edb60e6e7959ff9898e:579,eip155:8453:0xc2dcea9e3f87b5a3b3c9ac404cc8184b280c0293589e1edb60e6e7959ff9898e:579,2026-03-03T08:23:47.000Z,1772526180,eip155:8453,eip155:8453,ETH,USDC,0.052,103.302434,1987.51,1,103.35052,103.302434,4.65271
eip155:8453:0xaf044aea7fbddf6db90d204b0dbd9d611ad7aa2bdf484ad25338f7c36c3e1b86:624,eip155:8453:0xaf044aea7fbddf6db90d204b0dbd9d611ad7aa2bdf484ad25338f7c36c3e1b86:624,2026-03-03T08:25:11.000Z,1772526300,eip155:8453,eip155:8453,ETH,USDC,0.0055,10.928369,1983.24,1,10.90782,10.928369,-18.838778
eip155:8453:0xdf26d4648d336e3f9aa100aaac68eee1f4f7f4728bbc5c7dcd1b34b056e9db82:1013,eip155:8453:0xdf26d4648d336e3f9aa100aaac68eee1f4f7f4728bbc5c7dcd1b34b056e9db82:1013,2026-03-03T08:26:23.000Z,1772526360,eip155:8453,eip155:8453,ETH,USDC,0.0059475,11.786665,1986.82,1,11.81661195,11.786665,25.343093
eip155:8453:0x1b5c12255c5d1a9feaee90312451b5afef62644c9dd41a4a0a9627cb027f92df:552,eip155:8453:0x1b5c12255c5d1a9feaee90312451b5afef62644c9dd41a4a0a9627cb027f92df:552,2026-03-03T08:28:05.000Z,1772526480,eip155:8453,eip155:8453,ETH,USDC,0.078686149917,156.1937,1985.42,1,156.22505577,156.1937,2.00709
eip155:8453:0x2d6b263c51553c6690cb72d2cd7073babee1edd6bf12945dde15ca3c66ecae0d:443,eip155:8453:0x2d6b263c51553c6690cb72d2cd7073babee1edd6bf12945dde15ca3c66ecae0d:443,2026-03-03T08:28:13.000Z,1772526480,eip155:8453,eip155:8453,ETH,USDC,0.047209633462,93.69215,1985.42,1,93.73095047,93.69215,4.139558
