bucket_start_bps,bucket_end_bps,count
-410,-400,1
-380,-370,1
-330,-320,1
-300,-290,1
-250,-240,1
-200,-190,1
-190,-180,1
-180,-170,2
-170,-160,5
-160,-150,2
-140,-130,4
-130,-120,1
-120,-110,6
-110,-100,1
-100,-90,10
-90,-80,6
-80,-70,16
-70,-60,13
-60,-50,19
-50,-40,42
-40,-30,38
-30,-20,51
-20,-10,124
-10,0,475
0,10,1049
10,20,482
20,30,980
30,40,1857
40,50,404
50,60,136
60,70,60
70,80,48
80,90,145
90,100,424
100,110,82
110,120,23
120,130,14
130,140,17
140,150,2
150,160,1
160,170,4
170,180,3
180,190,2
190,200,2
200,210,1
210,220,1
220,230,3
230,240,2
240,250,1
270,280,3
280,290,1
300,310,3
310,320,1
320,330,3
330,340,8
340,350,3
350,360,4
460,470,2
650,660,1
1380,1390,1
