bucket_start_bps,bucket_end_bps,count
-1870,-1860,1
-1330,-1320,1
-920,-910,1
-740,-730,1
-680,-670,1
-660,-650,1
-600,-590,1
-590,-580,2
-580,-570,1
-490,-480,1
-480,-470,1
-460,-450,1
-450,-440,2
-440,-430,1
-410,-400,1
-390,-380,1
-380,-370,2
-350,-340,4
-340,-330,2
-330,-320,2
-320,-310,1
-310,-300,1
-300,-290,3
-290,-280,1
-280,-270,4
-270,-260,1
-260,-250,6
-250,-240,5
-240,-230,7
-230,-220,7
-220,-210,8
-210,-200,11
-200,-190,8
-190,-180,14
-180,-170,14
-170,-160,24
-160,-150,19
-150,-140,14
-140,-130,31
-130,-120,36
-120,-110,47
-110,-100,63
-100,-90,71
-90,-80,102
-80,-70,97
-70,-60,163
-60,-50,212
-50,-40,274
-40,-30,390
-30,-20,608
-20,-10,1333
-10,0,4090
0,10,5725
10,20,2455
20,30,1543
30,40,1006
40,50,554
50,60,358
60,70,257
70,80,748
80,90,3646
90,100,5966
100,110,2012
110,120,605
120,130,279
130,140,183
140,150,88
150,160,60
160,170,31
170,180,11
180,190,12
190,200,3
200,210,10
210,220,5
220,230,2
240,250,5
250,260,4
260,270,9
270,280,6
280,290,13
290,300,11
300,310,22
310,320,47
320,330,175
330,340,203
340,350,107
350,360,28
360,370,11
370,380,3
510,520,1
9900,9910,1
9940,9950,1
