bucket_start_bps,bucket_end_bps,count
-6673600,-6673590,1
-57730,-57720,1
-650,-640,1
-400,-390,1
-370,-360,1
-350,-340,1
-330,-320,1
-320,-310,2
-310,-300,1
-300,-290,2
-260,-250,1
-250,-240,2
-210,-200,2
-200,-190,1
-190,-180,3
-170,-160,2
-160,-150,1
-150,-140,4
-140,-130,4
-130,-120,3
-120,-110,2
-110,-100,6
-100,-90,3
-90,-80,11
-80,-70,6
-70,-60,11
-60,-50,24
-50,-40,21
-40,-30,28
-30,-20,66
-20,-10,118
-10,0,403
0,10,1361
10,20,734
20,30,604
30,40,853
40,50,348
50,60,287
60,70,118
70,80,42
80,90,31
90,100,32
100,110,26
110,120,16
120,130,29
130,140,46
140,150,21
150,160,9
160,170,10
170,180,6
180,190,6
190,200,4
200,210,6
210,220,4
220,230,2
230,240,4
240,250,2
250,260,4
260,270,5
270,280,4
280,290,1
290,300,6
300,310,1
310,320,2
320,330,2
340,350,1
