bucket_start_bps,bucket_end_bps,count
-1542820,-1542810,1
-289990,-289980,1
-24980,-24970,1
-22220,-22210,1
-8900,-8890,1
-7520,-7510,1
-4020,-4010,1
-2560,-2550,1
-2000,-1990,1
-820,-810,1
-800,-790,1
-620,-610,2
-580,-570,1
-560,-550,1
-510,-500,2
-500,-490,1
-480,-470,1
-470,-460,1
-460,-450,1
-380,-370,1
-360,-350,1
-350,-340,1
-330,-320,1
-320,-310,2
-310,-300,3
-300,-290,3
-290,-280,1
-280,-270,8
-270,-260,5
-260,-250,5
-250,-240,7
-240,-230,6
-230,-220,8
-220,-210,7
-210,-200,7
-200,-190,13
-190,-180,5
-180,-170,19
-170,-160,14
-160,-150,15
-150,-140,21
-140,-130,23
-130,-120,29
-120,-110,39
-110,-100,57
-100,-90,64
-90,-80,90
-80,-70,102
-70,-60,120
-60,-50,177
-50,-40,239
-40,-30,341
-30,-20,535
-20,-10,1059
-10,0,2685
0,10,4639
10,20,2316
20,30,1598
30,40,1394
40,50,758
50,60,465
60,70,362
70,80,772
80,90,3905
90,100,7192
100,110,3141
110,120,734
120,130,328
130,140,193
140,150,119
150,160,82
160,170,35
170,180,22
180,190,6
190,200,9
200,210,3
210,220,5
220,230,3
230,240,2
240,250,1
250,260,3
260,270,4
270,280,6
280,290,5
290,300,7
300,310,13
310,320,18
320,330,83
330,340,88
340,350,33
350,360,9
360,370,1
370,380,2
390,400,3
480,490,1
500,510,1
1070,1080,1
1130,1140,1
1710,1720,1
1840,1850,1
9950,9960,1
