normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
f0ccb021159e71ea3fee69e55839e6994fac58a179d15d68b97923ab8127c54f,f0ccb021159e71ea3fee69e55839e6994fac58a179d15d68b97923ab8127c54f,2026-01-30T17:06:48.422Z,1769792760,bitcoin:mainnet,eip155:1,BTC,USDC,0.3,24672.414195,82530.01,1,24759.003,24672.414195,34.972654
164eNGmTV5NgiTPD8cwtXX1AJi9vLEvS9i,164eNGmTV5NgiTPD8cwtXX1AJi9vLEvS9i,2026-01-30T17:09:02.083Z,1769792940,bitcoin:mainnet,eip155:1,BTC,USDC,0.01,814.481468,82674,1,826.74,814.481468,148.27554
2a2ed13daaaafc367a9c1ad6ccd09b2969c6cd911217e01fcb2de1e9b193a197,2a2ed13daaaafc367a9c1ad6ccd09b2969c6cd911217e01fcb2de1e9b193a197,2026-01-30T17:22:19.555Z,1769793720,bitcoin:mainnet,eip155:1,BTC,USDC,0.3,24824.167848,83089.99,1,24926.997,24824.167848,41.252122
17ByJihGf8HmhWtm2rqtz7rwryqcpm3dRH,17ByJihGf8HmhWtm2rqtz7rwryqcpm3dRH,2026-01-30T17:31:23.139Z,1769794260,bitcoin:mainnet,eip155:1,BTC,USDC,0.03812,3149.929008,83117.99,1,3168.4577788,3149.929008,58.478831
90c4b180ebcec892775f418c2e80aed724768b79680e196eb128f56486d2a487,90c4b180ebcec892775f418c2e80aed724768b79680e196eb128f56486d2a487,2026-01-30T17:34:21.565Z,1769794440,bitcoin:mainnet,eip155:1,BTC,USDC,0.3,24768.096248,82864.1,1,24859.23,24768.096248,36.659926
12Qob1DZ2DxvgMu4WEdsBPhwMN1ahnxDXP,12Qob1DZ2DxvgMu4WEdsBPhwMN1ahnxDXP,2026-01-30T17:37:39.399Z,1769794620,bitcoin:mainnet,eip155:1,BTC,USDC,0.126,10318.803687,83024,1,10461.024,10318.803687,135.952573
14mxk3D5wPtL6Z8VWW6NQQx29GWtWXmAJL,14mxk3D5wPtL6Z8VWW6NQQx29GWtWXmAJL,2026-01-30T17:37:45.059Z,1769794620,bitcoin:mainnet,eip155:1,BTC,USDC,0.0009721,79.409828,83024,1,80.7076304,79.409828,160.802937
1Myp1qv5Lk3iGqB3RAjD5GSyZk93GCYpKu,1Myp1qv5Lk3iGqB3RAjD5GSyZk93GCYpKu,2026-01-30T17:58:54.840Z,1769795880,bitcoin:mainnet,eip155:1,BTC,USDC,0.02858475,2355.404068,82888,1,2369.332758,2355.404068,58.787395
1a1897503cb9aaaa000bb18a92d9ff7b0e6d4c025ef8576d77da1f66b8e96975,1a1897503cb9aaaa000bb18a92d9ff7b0e6d4c025ef8576d77da1f66b8e96975,2026-01-30T18:24:30.972Z,1769797440,bitcoin:mainnet,eip155:1,BTC,USDC,0.00838824,683.819353,81869,1,686.73682056,683.819353,42.483051
1GehYdSaiYEGZowKqrDFn1PH8SEEEkZC7Q,1GehYdSaiYEGZowKqrDFn1PH8SEEEkZC7Q,2026-01-30T18:28:05.459Z,1769797680,bitcoin:mainnet,eip155:1,BTC,USDC,0.00438424,356.039273,82184.73,1,360.31758066,356.039273,118.737133
850c52cc776803b83ee36c35d45894a9da3780de429ed85edd3e5a7ac618b81d,850c52cc776803b83ee36c35d45894a9da3780de429ed85edd3e5a7ac618b81d,2026-01-30T18:30:46.107Z,1769797800,bitcoin:mainnet,eip155:1,BTC,USDC,0.3,24620.906164,82232.74,1,24669.822,24620.906164,19.828208
1Hpocn4Kq8pQ8a24qTHP7vx9c7LbdTQ1DN,1Hpocn4Kq8pQ8a24qTHP7vx9c7LbdTQ1DN,2026-01-30T18:31:26.422Z,1769797860,bitcoin:mainnet,eip155:1,BTC,USDC,0.00141121,114.530988,82282.5,1,116.11788682,114.530988,136.662737
