bucket_start_bps,bucket_end_bps,count
-100,-90,1
-90,-80,2
-70,-60,1
-60,-50,1
-40,-30,3
-30,-20,3
-20,-10,14
-10,0,36
0,10,104
10,20,107
20,30,232
30,40,220
40,50,243
50,60,408
60,70,181
70,80,80
80,90,31
90,100,33
100,110,52
110,120,95
120,130,214
130,140,505
140,150,209
150,160,50
160,170,16
170,180,11
180,190,20
190,200,8
200,210,10
210,220,14
220,230,21
230,240,30
240,250,22
250,260,17
260,270,12
270,280,16
280,290,8
290,300,7
300,310,12
310,320,9
320,330,12
330,340,7
340,350,12
350,360,3
360,370,1
380,390,1
390,400,1
400,410,4
420,430,1
430,440,1
460,470,1
500,510,1
520,530,1
530,540,1
540,550,1
560,570,1
570,580,1
