normalized_id,provider_record_id,event_at,event_minute_ts,source_chain_canonical,destination_chain_canonical,source_token_symbol,destination_token_symbol,amount_in,amount_out,source_price_usd,destination_price_usd,input_usd,output_usd,implementation_shortfall_bps
125SpWNWL2zzgpwKu8yaQqNAsnDbEMeJPZ,125SpWNWL2zzgpwKu8yaQqNAsnDbEMeJPZ,2026-01-30T17:03:21.214Z,1769792580,bitcoin:mainnet,eip155:1,BTC,USDT,0.00823,674.695979,82680.65,1,680.4617495,674.695979,84.733205
1JV9JUwR9g3jiYZDD7XPp5kXmSzEqsQTJW,1JV9JUwR9g3jiYZDD7XPp5kXmSzEqsQTJW,2026-01-30T17:06:48.909Z,1769792760,bitcoin:mainnet,eip155:1,BTC,USDT,0.00025264,20,82530.01,1,20.85038173,20,407.849476
19BPxZSMAsApUDv4rnx82M6CmcuLMpJS2R,19BPxZSMAsApUDv4rnx82M6CmcuLMpJS2R,2026-01-30T17:15:01.458Z,1769793300,bitcoin:mainnet,eip155:1,BTC,USDT,0.00117657,95.749491,82609.98,1,97.19642417,95.749491,148.866914
12gNpaEu7CDRcRcmShHRpZ48x24dVtEY7e,12gNpaEu7CDRcRcmShHRpZ48x24dVtEY7e,2026-01-30T17:16:32.309Z,1769793360,bitcoin:mainnet,eip155:1,BTC,USDT,0.0007,57.315556,82642.8,1,57.84996,57.315556,92.377592
1DdnzePPSVziYcGLaY7ovuREbLDenGbW4y,1DdnzePPSVziYcGLaY7ovuREbLDenGbW4y,2026-01-30T17:17:39.584Z,1769793420,bitcoin:mainnet,eip155:1,BTC,USDT,0.00294491,242.905011,82729.07,1,243.62966553,242.905011,29.744101
1K7po8MR3aznsF5RW4r4YHA5BHFyaFh54G,1K7po8MR3aznsF5RW4r4YHA5BHFyaFh54G,2026-01-30T17:19:10.767Z,1769793540,bitcoin:mainnet,eip155:1,BTC,USDT,0.08977185,7332.845209,82865.82,1,7439.01796317,7332.845209,142.724154
1DroPpDeWprWcRen3PDJXosUgyh2AMaZVS,1DroPpDeWprWcRen3PDJXosUgyh2AMaZVS,2026-01-30T17:21:18.879Z,1769793660,bitcoin:mainnet,eip155:1,BTC,USDT,0.00299809,248.073351,83008.03,1,248.86554466,248.073351,31.832195
1EbPN1VuP9DaeuG2RAz4XoCR97QZQBns9e,1EbPN1VuP9DaeuG2RAz4XoCR97QZQBns9e,2026-01-30T17:24:44.619Z,1769793840,bitcoin:mainnet,eip155:1,BTC,USDT,2.3527,194735.166867,83143.99,1,195612.865273,194735.166867,44.869155
1PkNPB8XibXk2f8KsSvsJdJGVnf8JTTBek,1PkNPB8XibXk2f8KsSvsJdJGVnf8JTTBek,2026-01-30T17:31:16.906Z,1769794260,bitcoin:mainnet,eip155:1,BTC,USDT,0.419,34375.911481,83117.99,1,34826.43781,34375.911481,129.363311
1614Hf4AiTxBiz5sJEoJp834VVNKXddTta,1614Hf4AiTxBiz5sJEoJp834VVNKXddTta,2026-01-30T17:31:35.773Z,1769794260,bitcoin:mainnet,eip155:1,BTC,USDT,0.0002,16.247455,83117.99,1,16.623598,16.247455,226.27051
15Qu7EEtYoWW6C14nimehsgddni6ejeA6i,15Qu7EEtYoWW6C14nimehsgddni6ejeA6i,2026-01-30T17:41:19.881Z,1769794860,bitcoin:mainnet,eip155:1,BTC,USDT,0.00301232,249.104997,82954,1,249.88399328,249.104997,31.174317
