bucket_start_bps,bucket_end_bps,count
0,10,10
10,20,30
20,30,43
30,40,92
40,50,69
50,60,60
60,70,63
70,80,60
80,90,30
90,100,20
100,110,21
110,120,15
120,130,18
130,140,24
140,150,109
150,160,130
160,170,77
170,180,41
180,190,57
190,200,35
200,210,22
210,220,23
220,230,8
230,240,17
240,250,6
250,260,6
260,270,11
270,280,11
280,290,6
290,300,2
310,320,5
320,330,6
330,340,12
340,350,10
350,360,8
360,370,9
370,380,4
380,390,6
390,400,3
400,410,3
410,420,2
420,430,2
430,440,6
440,450,2
450,460,1
460,470,7
470,480,4
480,490,5
490,500,7
500,510,5
510,520,9
520,530,6
530,540,13
540,550,3
550,560,5
560,570,6
570,580,5
580,590,10
590,600,1
600,610,7
610,620,4
620,630,4
630,640,4
640,650,9
650,660,5
660,670,8
670,680,5
680,690,4
690,700,3
700,710,3
710,720,2
720,730,5
730,740,2
740,750,5
750,760,1
760,770,3
770,780,3
790,800,2
800,810,4
810,820,4
820,830,3
830,840,2
840,850,2
850,860,5
860,870,5
870,880,8
880,890,6
890,900,2
900,910,3
910,920,3
920,930,3
930,940,1
940,950,3
950,960,2
960,970,2
970,980,4
980,990,5
990,1000,2
1000,1010,3
1010,1020,4
1020,1030,2
1030,1040,7
1040,1050,3
1050,1060,5
1060,1070,1
1070,1080,8
1080,1090,4
1090,1100,2
1100,1110,2
1110,1120,2
1120,1130,7
1130,1140,1
1140,1150,4
1150,1160,4
1160,1170,2
1170,1180,4
1180,1190,4
1190,1200,1
1200,1210,4
1210,1220,1
1220,1230,3
1230,1240,2
1240,1250,1
1250,1260,1
1260,1270,2
1270,1280,2
1280,1290,2
1290,1300,4
1300,1310,1
1320,1330,1
1330,1340,2
1350,1360,1
1360,1370,2
1410,1420,2
1430,1440,1
1440,1450,2
1460,1470,2
1470,1480,2
1480,1490,2
1490,1500,1
1500,1510,2
1520,1530,1
1530,1540,2
1550,1560,3
1560,1570,1
1580,1590,1
1600,1610,2
1620,1630,1
1630,1640,2
1640,1650,1
1650,1660,1
1660,1670,2
1680,1690,1
1690,1700,1
1710,1720,1
1720,1730,2
1730,1740,1
1740,1750,3
1750,1760,1
1760,1770,2
1770,1780,1
1780,1790,1
1790,1800,1
1800,1810,1
1810,1820,1
1820,1830,1
1830,1840,1
1840,1850,2
1860,1870,2
1890,1900,2
1900,1910,3
1910,1920,1
1930,1940,2
1950,1960,2
1960,1970,1
1970,1980,2
2010,2020,1
2030,2040,1
2060,2070,1
2070,2080,1
2080,2090,1
2090,2100,1
2110,2120,3
2120,2130,1
2130,2140,3
2160,2170,1
2170,2180,1
2180,2190,2
2240,2250,1
2250,2260,3
2270,2280,2
2280,2290,1
2330,2340,1
2360,2370,1
2370,2380,1
2390,2400,1
2430,2440,1
2450,2460,2
2460,2470,1
2470,2480,1
2500,2510,1
2560,2570,2
2570,2580,1
2580,2590,1
2600,2610,1
2620,2630,1
2640,2650,1
2680,2690,2
2700,2710,1
2720,2730,1
2750,2760,1
2790,2800,1
2820,2830,1
2830,2840,3
2870,2880,1
2920,2930,1
2950,2960,1
2970,2980,1
3050,3060,1
3120,3130,1
3130,3140,1
3270,3280,1
3300,3310,1
3320,3330,1
3370,3380,1
3490,3500,1
3510,3520,1
3620,3630,1
3640,3650,1
3850,3860,1
3880,3890,1
3990,4000,1
4040,4050,1
4170,4180,1
4370,4380,1
4520,4530,1
4530,4540,1
4600,4610,2
4760,4770,1
4850,4860,2
4960,4970,2
5090,5100,1
5120,5130,1
5150,5160,1
5200,5210,1
5240,5250,1
5310,5320,1
5360,5370,1
5370,5380,1
5400,5410,1
5510,5520,1
5660,5670,1
5670,5680,1
5680,5690,1
5760,5770,1
5870,5880,1
5990,6000,1
6010,6020,1
6040,6050,1
6050,6060,2
6310,6320,1
6560,6570,1
6570,6580,1
