bucket_start_bps,bucket_end_bps,count
-90,-80,2
-80,-70,1
-30,-20,1
-20,-10,5
-10,0,7
0,10,39
10,20,60
20,30,82
30,40,115
40,50,97
50,60,57
60,70,40
70,80,18
80,90,16
90,100,12
100,110,17
110,120,18
120,130,36
130,140,88
140,150,392
150,160,534
160,170,282
170,180,166
180,190,136
190,200,78
200,210,60
210,220,42
220,230,40
230,240,53
240,250,54
250,260,41
260,270,41
270,280,13
280,290,15
290,300,15
300,310,9
310,320,3
320,330,9
330,340,13
340,350,17
350,360,10
360,370,7
370,380,9
380,390,13
390,400,10
400,410,2
410,420,8
420,430,8
430,440,1
440,450,4
450,460,2
460,470,2
470,480,4
480,490,2
490,500,1
500,510,2
510,520,2
520,530,2
530,540,4
540,550,5
550,560,5
560,570,3
570,580,2
580,590,3
590,600,5
600,610,2
610,620,1
620,630,2
630,640,1
640,650,3
650,660,4
660,670,2
670,680,1
680,690,2
690,700,2
700,710,1
710,720,1
720,730,6
730,740,3
740,750,1
750,760,1
760,770,2
770,780,2
780,790,1
800,810,2
810,820,1
820,830,3
830,840,1
840,850,3
850,860,2
860,870,5
870,880,2
880,890,1
890,900,1
900,910,2
910,920,7
920,930,3
930,940,1
970,980,1
980,990,2
1010,1020,3
1020,1030,1
1040,1050,1
1050,1060,1
1070,1080,2
1080,1090,1
1130,1140,2
1190,1200,2
1200,1210,1
1260,1270,1
1270,1280,2
1280,1290,1
1320,1330,2
1380,1390,1
1540,1550,1
1560,1570,1
1590,1600,1
1600,1610,1
1610,1620,2
1660,1670,1
1670,1680,1
1690,1700,1
1720,1730,1
2150,2160,1
2240,2250,2
2530,2540,1
2620,2630,1
2990,3000,1
3300,3310,1
3360,3370,1
3460,3470,2
3490,3500,1
5050,5060,1
