bucket_start_bps,bucket_end_bps,count
-40,-30,1
-20,-10,2
-10,0,4
0,10,9
10,20,42
20,30,60
30,40,83
40,50,95
50,60,75
60,70,69
70,80,56
80,90,18
90,100,24
100,110,23
110,120,29
120,130,29
130,140,56
140,150,290
150,160,657
160,170,655
170,180,377
180,190,182
190,200,131
200,210,103
210,220,68
220,230,65
230,240,43
240,250,45
250,260,46
260,270,42
270,280,26
280,290,21
290,300,12
300,310,17
310,320,18
320,330,5
330,340,15
340,350,15
350,360,11
360,370,5
370,380,12
380,390,18
390,400,5
400,410,9
410,420,5
420,430,2
430,440,3
440,450,6
450,460,2
460,470,3
470,480,9
480,490,1
490,500,2
500,510,5
510,520,3
520,530,8
530,540,8
540,550,4
550,560,3
560,570,8
570,580,4
580,590,7
590,600,5
600,610,5
610,620,4
620,630,4
630,640,4
640,650,7
650,660,3
660,670,4
670,680,3
690,700,1
700,710,5
710,720,4
720,730,2
740,750,1
750,760,4
760,770,5
770,780,3
780,790,1
790,800,2
800,810,5
810,820,3
820,830,5
830,840,2
840,850,2
890,900,3
900,910,4
910,920,2
920,930,2
930,940,2
940,950,1
960,970,1
970,980,3
990,1000,3
1000,1010,1
1010,1020,3
1020,1030,5
1030,1040,1
1040,1050,2
1050,1060,1
1060,1070,2
1070,1080,2
1080,1090,3
1100,1110,4
1120,1130,1
1130,1140,2
1160,1170,1
1170,1180,1
1180,1190,2
1190,1200,1
1200,1210,1
1210,1220,1
1220,1230,1
1250,1260,1
1260,1270,3
1270,1280,3
1280,1290,2
1290,1300,1
1320,1330,2
1340,1350,1
1360,1370,2
1390,1400,1
1430,1440,1
1450,1460,1
1460,1470,1
1470,1480,1
1480,1490,1
1490,1500,1
1520,1530,1
1580,1590,1
1610,1620,1
1650,1660,1
1670,1680,1
1730,1740,2
1840,1850,1
1920,1930,1
1990,2000,1
2030,2040,1
2080,2090,1
2090,2100,1
2190,2200,1
2210,2220,1
2280,2290,1
2320,2330,1
2350,2360,1
2390,2400,1
2410,2420,1
2420,2430,1
2440,2450,1
2490,2500,2
2590,2600,1
2930,2940,1
3000,3010,1
3160,3170,1
6240,6250,1
