bucket_start_bps,bucket_end_bps,count
10,20,1
20,30,4
30,40,6
40,50,3
50,60,6
60,70,6
70,80,2
80,90,3
90,100,2
100,110,1
110,120,10
120,130,44
130,140,49
140,150,37
150,160,42
160,170,25
170,180,28
180,190,14
190,200,14
200,210,13
210,220,10
220,230,14
230,240,56
240,250,82
250,260,87
260,270,67
270,280,73
280,290,53
290,300,37
300,310,32
310,320,26
320,330,14
330,340,12
340,350,14
350,360,14
360,370,17
370,380,10
380,390,15
390,400,6
400,410,10
410,420,6
420,430,6
430,440,12
440,450,11
450,460,4
460,470,3
470,480,8
480,490,4
490,500,4
500,510,7
510,520,4
520,530,7
530,540,2
540,550,3
550,560,5
560,570,1
570,580,1
580,590,1
590,600,2
600,610,2
610,620,3
620,630,3
630,640,1
640,650,1
650,660,2
660,670,1
680,690,4
690,700,1
700,710,2
710,720,1
760,770,1
780,790,1
790,800,2
800,810,1
850,860,1
860,870,2
920,930,1
940,950,1
950,960,1
960,970,1
1040,1050,1
1160,1170,1
1180,1190,2
1270,1280,1
1440,1450,1
1460,1470,1
1530,1540,1
