bucket_start_bps,bucket_end_bps,count
-3350,-3340,4
-3340,-3330,1
-3330,-3320,1
-3270,-3260,3
-50,-40,1
-10,0,1
50,60,3
60,70,19
70,80,7
80,90,1
90,100,5
100,110,2
110,120,3
120,130,5
130,140,1
140,150,2
150,160,3
160,170,12
170,180,42
180,190,35
190,200,25
200,210,12
210,220,15
220,230,5
230,240,6
240,250,1
250,260,4
260,270,6
270,280,4
280,290,5
290,300,2
300,310,1
310,320,4
320,330,2
330,340,2
340,350,2
350,360,2
370,380,1
400,410,1
420,430,1
450,460,3
480,490,1
490,500,1
550,560,1
680,690,1
760,770,1
770,780,1
800,810,1
1080,1090,1
1370,1380,1
1770,1780,1
2080,2090,1
5960,5970,1
9480,9490,1
