bucket_start_bps,bucket_end_bps,count
-60,-50,3
-50,-40,4
-40,-30,2
-30,-20,5
-20,-10,3
-10,0,1
0,10,3
20,30,3
40,50,20
50,60,2
60,70,3
70,80,7
80,90,1
90,100,3
100,110,1
110,120,2
120,130,5
140,150,4
150,160,18
160,170,40
170,180,31
180,190,29
190,200,19
200,210,7
210,220,10
220,230,8
230,240,5
240,250,2
250,260,1
260,270,3
270,280,1
280,290,1
290,300,2
310,320,1
340,350,4
350,360,1
360,370,3
370,380,1
380,390,1
390,400,1
420,430,2
440,450,1
450,460,1
460,470,2
480,490,1
550,560,2
730,740,1
760,770,1
820,830,1
910,920,1
920,930,1
990,1000,1
1160,1170,1
1260,1270,1
1460,1470,1
1500,1510,1
1530,1540,1
1800,1810,1
3210,3220,1
3650,3660,1
