bucket_start_bps,bucket_end_bps,count
-280,-270,2
-210,-200,1
10,20,1
20,30,1
40,50,1
50,60,4
60,70,20
70,80,29
80,90,42
90,100,29
100,110,39
110,120,32
120,130,41
130,140,28
140,150,21
150,160,27
160,170,34
170,180,31
180,190,28
190,200,20
200,210,20
210,220,21
220,230,28
230,240,20
240,250,21
250,260,14
260,270,19
270,280,21
280,290,21
290,300,18
300,310,13
310,320,17
320,330,12
330,340,13
340,350,6
350,360,14
360,370,13
370,380,7
380,390,6
390,400,11
400,410,5
410,420,7
420,430,8
430,440,12
440,450,9
450,460,9
460,470,4
470,480,12
480,490,6
490,500,9
500,510,10
510,520,4
520,530,7
530,540,8
540,550,7
550,560,8
560,570,5
570,580,3
580,590,4
590,600,2
600,610,6
610,620,2
620,630,7
630,640,7
640,650,9
650,660,4
660,670,4
670,680,4
680,690,8
690,700,2
700,710,4
710,720,4
720,730,5
730,740,3
740,750,5
750,760,5
760,770,3
770,780,6
780,790,4
790,800,2
800,810,6
810,820,2
820,830,2
830,840,6
840,850,1
850,860,3
860,870,6
870,880,4
880,890,2
890,900,6
900,910,3
910,920,2
920,930,2
930,940,2
950,960,1
960,970,3
970,980,1
980,990,4
990,1000,3
1000,1010,3
1010,1020,3
1020,1030,2
1030,1040,4
1040,1050,3
1050,1060,3
1070,1080,6
1080,1090,8
1090,1100,4
1100,1110,4
1110,1120,1
1120,1130,2
1130,1140,2
1140,1150,2
1150,1160,1
1160,1170,4
1170,1180,1
1180,1190,4
1190,1200,2
1200,1210,3
1210,1220,4
1220,1230,1
1230,1240,2
1240,1250,4
1250,1260,3
1260,1270,1
1270,1280,3
1280,1290,2
1300,1310,2
1310,1320,2
1320,1330,1
1330,1340,2
1340,1350,2
1350,1360,1
1360,1370,3
1370,1380,2
1390,1400,1
1410,1420,1
1420,1430,2
1430,1440,1
1440,1450,1
1450,1460,1
1460,1470,2
1470,1480,1
1500,1510,4
1520,1530,1
1530,1540,2
1540,1550,2
1570,1580,3
1590,1600,1
1640,1650,1
1660,1670,1
1690,1700,1
1700,1710,2
1720,1730,1
1730,1740,1
1750,1760,3
1800,1810,1
1810,1820,2
1830,1840,2
1840,1850,1
1850,1860,2
1860,1870,1
1870,1880,1
1900,1910,1
1910,1920,1
1930,1940,2
1950,1960,3
1960,1970,3
1980,1990,2
1990,2000,2
2010,2020,1
2020,2030,1
2030,2040,1
2060,2070,1
2080,2090,1
2100,2110,2
2130,2140,1
2150,2160,1
2160,2170,1
2180,2190,1
2190,2200,1
2220,2230,1
2230,2240,1
2260,2270,1
2310,2320,1
2350,2360,1
2380,2390,1
2490,2500,1
2530,2540,1
2570,2580,2
2610,2620,2
2630,2640,1
2640,2650,1
2690,2700,1
2720,2730,1
2730,2740,1
2740,2750,1
2760,2770,1
2830,2840,1
2940,2950,1
3000,3010,1
3020,3030,1
3180,3190,1
3200,3210,1
3350,3360,1
3370,3380,1
3410,3420,1
3440,3450,1
3480,3490,2
3530,3540,1
3700,3710,1
3720,3730,1
3750,3760,1
3790,3800,1
3820,3830,1
3960,3970,1
4160,4170,1
4190,4200,1
4400,4410,1
4510,4520,1
4520,4530,1
4670,4680,1
4840,4850,1
5040,5050,1
5080,5090,1
5150,5160,1
5880,5890,1
6070,6080,1
6610,6620,1
