bucket_start_bps,bucket_end_bps,count
-480,-470,1
-360,-350,1
-330,-320,2
-320,-310,2
-310,-300,1
-300,-290,2
-290,-280,1
-220,-210,1
-180,-170,1
-130,-120,1
-90,-80,1
-70,-60,1
-20,-10,1
-10,0,2
0,10,18
10,20,56
20,30,58
30,40,53
40,50,30
50,60,28
60,70,28
70,80,21
80,90,18
90,100,20
100,110,9
110,120,12
120,130,10
130,140,8
140,150,12
150,160,9
160,170,14
170,180,9
180,190,3
190,200,7
200,210,6
210,220,6
220,230,5
230,240,2
240,250,6
250,260,5
260,270,4
270,280,6
280,290,2
290,300,3
300,310,7
310,320,3
320,330,2
330,340,1
340,350,2
350,360,1
370,380,2
380,390,1
390,400,3
400,410,1
410,420,7
420,430,4
430,440,2
440,450,2
450,460,5
460,470,1
500,510,3
520,530,1
530,540,2
550,560,1
570,580,1
580,590,1
620,630,1
680,690,3
720,730,1
740,750,1
750,760,2
760,770,1
770,780,1
780,790,2
820,830,1
840,850,2
860,870,1
870,880,1
880,890,1
910,920,1
970,980,1
1010,1020,1
1030,1040,1
1050,1060,1
1210,1220,1
1220,1230,1
1260,1270,1
1300,1310,1
1320,1330,1
1330,1340,1
1400,1410,1
1510,1520,1
1570,1580,1
1670,1680,1
1680,1690,1
1900,1910,1
1920,1930,1
2110,2120,1
2180,2190,1
2190,2200,1
2230,2240,1
2240,2250,1
2280,2290,1
2440,2450,1
2770,2780,1
2900,2910,1
3050,3060,1
3530,3540,1
4350,4360,1
