bucket_start_bps,bucket_end_bps,count
-480,-470,1
-260,-250,1
10,20,2
20,30,11
30,40,22
40,50,25
50,60,27
60,70,23
70,80,10
80,90,12
90,100,7
100,110,7
110,120,9
120,130,7
130,140,6
140,150,7
150,160,7
160,170,6
170,180,5
180,190,5
190,200,2
200,210,4
210,220,4
220,230,2
240,250,4
250,260,3
260,270,3
270,280,1
280,290,3
290,300,1
300,310,3
310,320,3
320,330,1
330,340,1
340,350,3
350,360,3
360,370,1
370,380,3
380,390,4
400,410,1
420,430,2
430,440,2
440,450,2
460,470,1
470,480,1
490,500,2
500,510,1
530,540,1
550,560,1
580,590,1
590,600,1
620,630,1
630,640,1
640,650,1
650,660,1
670,680,1
690,700,1
710,720,1
730,740,1
760,770,1
770,780,1
790,800,1
850,860,1
860,870,1
880,890,1
910,920,1
1210,1220,1
1250,1260,1
1270,1280,1
1400,1410,1
1660,1670,1
1730,1740,1
2000,2010,1
2030,2040,1
2310,2320,1
2540,2550,1
2670,2680,1
2690,2700,1
4290,4300,1
6480,6490,1
