bucket_start_bps,bucket_end_bps,count
-80,-70,1
-70,-60,4
-60,-50,3
-30,-20,1
-20,-10,3
-10,0,5
0,10,30
10,20,74
20,30,157
30,40,205
40,50,248
50,60,220
60,70,101
70,80,42
80,90,33
90,100,13
100,110,14
110,120,13
120,130,6
130,140,7
140,150,10
150,160,7
160,170,3
170,180,5
180,190,6
190,200,6
200,210,1
210,220,6
220,230,5
230,240,6
240,250,2
250,260,2
260,270,4
270,280,5
280,290,2
290,300,1
300,310,3
310,320,1
320,330,1
330,340,3
350,360,1
360,370,2
370,380,2
380,390,3
390,400,2
410,420,2
440,450,1
450,460,2
460,470,1
470,480,1
480,490,1
490,500,1
510,520,1
520,530,2
530,540,1
540,550,1
580,590,1
600,610,1
630,640,1
640,650,1
670,680,1
680,690,1
720,730,1
760,770,1
770,780,1
810,820,1
850,860,1
860,870,1
910,920,1
1160,1170,1
1360,1370,1
1380,1390,2
1420,1430,1
1430,1440,1
1500,1510,1
1650,1660,1
2260,2270,1
2800,2810,1
2850,2860,1
2950,2960,1
6250,6260,1
