bucket_start_bps,bucket_end_bps,count
-170,-160,1
-150,-140,1
-140,-130,1
-130,-120,1
-60,-50,1
-40,-30,1
-20,-10,4
-10,0,8
0,10,42
10,20,124
20,30,232
30,40,390
40,50,651
50,60,439
60,70,48
70,80,19
80,90,13
90,100,3
100,110,7
110,120,5
120,130,3
130,140,2
140,150,4
160,170,2
170,180,1
180,190,1
190,200,2
200,210,1
210,220,2
220,230,2
230,240,2
240,250,1
260,270,2
290,300,1
310,320,1
320,330,1
330,340,5
360,370,2
370,380,3
380,390,1
400,410,2
410,420,1
460,470,1
470,480,1
480,490,1
490,500,1
500,510,1
510,520,1
520,530,1
530,540,1
570,580,2
620,630,1
630,640,1
650,660,1
720,730,1
740,750,1
750,760,2
760,770,1
790,800,1
820,830,1
840,850,1
870,880,1
900,910,1
940,950,1
950,960,1
980,990,2
1050,1060,2
1060,1070,1
1070,1080,1
1090,1100,1
1400,1410,1
1410,1420,1
1540,1550,1
1810,1820,1
1840,1850,1
1980,1990,1
2020,2030,1
2180,2190,1
2370,2380,1
2440,2450,1
2660,2670,1
3170,3180,1
3460,3470,1
3540,3550,1
3700,3710,1
3970,3980,1
4520,4530,1
