bucket_start_bps,bucket_end_bps,count
-140,-130,1
-70,-60,1
-60,-50,1
-30,-20,1
-20,-10,5
-10,0,12
0,10,35
10,20,77
20,30,79
30,40,64
40,50,76
50,60,35
60,70,15
70,80,9
80,90,4
90,100,3
100,110,3
110,120,2
120,130,3
130,140,2
140,150,2
150,160,2
160,170,1
170,180,2
180,190,1
190,200,5
200,210,4
220,230,6
250,260,2
260,270,1
270,280,2
280,290,1
420,430,1
430,440,4
440,450,4
490,500,5
500,510,3
640,650,1
650,660,1
660,670,1
670,680,1
720,730,2
730,740,2
740,750,1
750,760,1
980,990,1
1050,1060,1
1070,1080,2
1220,1230,1
1550,1560,1
1650,1660,1
2070,2080,1
